country_group,iso,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Estimates Start After,,
major-advanced,USA,United States of America,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","32,016.17","32,501.19","31,611.11","32,761.15","34,825.51","35,956.86","36,865.19","37,801.47","39,024.16","40,077.88","40,382.90","39,806.74","40,665.63","41,243.58","42,387.25","43,013.13","44,118.77","45,533.36","47,022.34","48,716.93","50,146.22","50,106.48","50,460.27","51,387.02","52,883.65","54,221.85","55,205.94","55,761.32","55,313.76","53,410.17","54,438.39","54,890.98","55,745.73","56,383.96","57,259.64","58,386.74","58,938.89","59,878.72","61,313.66","62,429.70","60,205.08","63,582.33","64,660.93","65,287.54",2021,,
other-advanced,SMR,San Marino,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"81,052.66","82,067.67","84,131.60","88,969.64","87,504.13","77,642.38","72,207.03","65,267.65","59,835.51","58,647.39","57,582.59","58,606.20","59,669.63","59,522.01","60,095.93","61,029.79","56,658.73","61,162.65","63,803.00","64,383.63",2020,,
ED-A,BRN,Brunei Darussalam,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,"82,774.49","78,961.07","77,963.64","76,337.72","74,015.34","72,725.25","72,973.68","74,524.17","73,029.28","73,289.77","74,919.75","75,191.81","72,317.57","70,101.31","70,554.00","70,799.88","70,985.35","72,160.19","72,904.94","72,045.50","71,074.18","72,978.17","72,003.90","69,666.38","67,518.83","68,073.77","69,442.77","69,140.57","66,899.49","64,533.66","63,524.09","61,236.93","60,719.95","59,332.45","59,660.20","61,592.94","60,762.36","59,707.91","61,656.26",2021,,
other-advanced,HKG,Hong Kong,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","16,947.62","18,076.86","18,315.78","19,090.76","20,687.48","20,572.11","22,588.24","25,387.79","27,275.21","27,628.81","28,559.97","29,859.85","31,332.05","32,662.53","33,947.50","33,918.04","34,287.37","35,758.88","33,314.33","33,870.56","36,064.70","36,165.65","36,789.39","37,698.58","40,776.43","43,532.29","46,144.95","48,886.69","49,744.12","48,295.46","51,156.67","53,186.80","53,627.23","54,984.58","56,176.27","57,070.67","57,771.63","59,667.89","60,769.10","59,492.19","56,300.78","60,135.07","58,566.56","60,852.72",2021,,
other-advanced,DNK,Denmark,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","31,953.00","31,730.72","32,928.98","33,800.86","35,240.73","36,659.28","38,416.91","38,450.54","38,414.06","38,656.71","39,182.94","39,644.89","40,299.05","40,158.25","42,167.87","43,286.06","44,243.99","45,477.60","46,310.78","47,508.30","49,137.15","49,363.70","49,417.48","49,469.83","50,656.61","51,710.88","53,574.78","53,866.24","53,310.08","50,367.04","51,091.82","51,533.52","51,467.39","51,743.65","52,349.88","53,268.95","54,540.79","55,673.46","56,463.28","57,060.34","55,762.47","58,298.05","60,067.12","59,863.64",2022,,
other-advanced,TWN,Taiwan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","8,277.16","8,705.05","8,965.21","9,631.23","10,444.18","10,807.62","11,931.17","13,305.24","14,207.60","15,291.83","15,945.57","17,108.97","18,355.47","19,426.16","20,703.77","21,863.83","23,033.10","24,182.69","24,986.05","26,470.39","27,909.03","27,359.57","28,711.62","29,813.67","31,767.36","33,358.05","35,119.30","37,391.42","37,561.50","36,823.40","40,521.89","41,897.10","42,660.86","43,612.48","45,553.26","46,106.21","47,008.92","48,500.85","49,815.03","51,310.48","53,142.48","57,061.72","58,565.00","59,829.96",2021,,
euro-area,NLD,Netherlands,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","30,848.89","30,436.46","29,883.53","30,294.98","31,120.20","31,815.93","32,639.73","33,048.70","34,329.53","35,648.94","36,920.56","37,528.56","37,825.80","38,027.36","38,910.04","39,775.00","40,979.48","42,551.84","44,290.60","46,206.44","47,832.02","48,568.57","48,316.50","48,131.74","48,888.64","49,743.93","51,375.59","53,235.95","54,235.10","51,991.29","52,404.98","52,958.92","52,179.20","51,960.08","52,544.34","53,346.88","54,264.39","55,509.26","56,490.47","57,258.34","54,621.17","57,065.70","59,253.15","59,527.37",2022,,
other-advanced,ISL,Iceland,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","30,139.32","31,098.78","31,378.16","30,265.82","31,135.00","31,867.51","33,642.44","36,225.28","35,695.11","35,168.28","35,317.94","34,952.29","33,270.99","33,366.39","34,221.22","34,015.54","35,439.01","37,218.28","39,590.80","40,686.54","42,203.99","43,229.84","42,984.17","43,616.61","46,680.08","49,031.61","51,031.37","53,946.27","53,777.17","49,048.04","47,919.36","48,677.90","49,022.77","50,891.12","51,143.68","52,856.27","55,608.74","56,944.80","57,997.50","57,631.83","52,409.56","53,990.01","56,330.58","56,921.54",2021,,
euro-area,AUT,Austria,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","31,396.31","31,302.06","31,859.24","32,849.42","32,954.86","33,671.42","34,423.53","34,955.36","35,246.43","36,529.70","37,865.36","38,832.78","39,198.40","38,986.98","39,690.87","40,649.44","41,568.17","42,390.36","43,860.38","45,331.94","46,749.66","47,161.19","47,703.82","47,938.68","48,941.20","49,699.77","51,151.09","52,883.46","53,485.90","51,349.29","52,170.14","53,519.17","53,641.76","53,333.18","53,266.72","53,273.47","53,647.68","54,393.57","55,274.19","56,276.29","52,394.66","54,300.26","56,729.96","56,695.85",2022,,
other-advanced,AND,Andorra,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"60,467.09","60,911.09","57,892.72","55,672.92","56,578.79","56,460.54","57,455.31","56,352.20","56,208.17","56,330.95","49,728.24","53,143.21","56,644.69","56,284.45",2021,,
euro-area,DEU,Germany,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","30,420.76","30,397.04","30,179.00","30,755.45","31,752.84","32,529.23","33,292.66","33,775.76","34,825.39","35,830.09","37,168.15","38,530.68","39,013.34","38,419.38","39,243.39","39,769.40","40,015.76","40,708.37","41,563.47","42,360.05","43,571.70","44,273.71","44,151.73","43,857.24","44,427.03","44,815.22","46,617.83","48,115.25","48,714.44","46,099.93","48,148.08","50,038.55","50,157.85","50,237.48","51,137.33","51,450.81","52,175.10","53,373.92","53,737.27","54,181.28","52,138.10","53,484.02","54,046.73","53,947.03",2022,,
other-advanced,SWE,Sweden,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","27,261.15","28,481.49","28,863.82","29,446.96","30,682.77","31,338.27","32,179.37","33,113.39","33,750.76","34,370.90","34,372.55","33,783.10","33,282.67","32,475.69","33,479.12","34,713.45","35,233.82","36,302.86","37,839.54","39,415.04","41,194.38","41,667.95","42,432.57","43,243.98","44,940.55","46,039.56","47,839.92","49,109.79","48,500.74","45,977.01","48,326.17","49,516.50","48,848.96","48,973.20","49,746.18","51,432.46","51,740.37","52,413.09","52,860.89","53,402.35","51,983.14","54,400.10","55,470.07","53,710.08",2022,,
euro-area,BEL,Belgium,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","29,535.85","29,428.68","29,630.17","29,712.24","30,460.48","30,948.87","31,509.24","32,216.92","33,701.13","34,688.00","35,703.76","36,215.55","36,641.39","36,121.99","37,168.36","37,942.25","38,396.30","39,746.37","40,438.42","41,783.00","43,228.77","43,600.59","44,145.60","44,405.18","45,811.43","46,653.41","47,545.55","48,953.16","48,792.60","47,423.21","48,390.94","48,491.87","48,518.37","48,469.52","49,045.87","49,795.71","50,097.35","50,726.55","51,423.72","52,314.96","49,222.49","52,095.60","53,415.32","53,431.68",2022,,
other-advanced,AUS,Australia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","26,395.86","27,051.34","26,626.20","26,167.04","27,483.61","28,576.23","28,843.70","29,782.73","30,505.32","31,451.22","31,492.06","30,802.16","31,280.06","32,212.54","33,445.70","34,004.26","34,966.46","36,227.67","37,515.72","38,707.72","39,442.19","39,976.88","41,176.55","41,945.37","43,193.30","43,906.75","44,365.32","45,450.15","45,608.30","45,668.00","46,123.52","46,661.97","47,563.09","47,839.54","48,353.13","48,747.23","49,235.17","49,643.81","50,251.87","50,473.32","49,341.84","51,647.87","53,113.79","53,321.48",2021,,
ME-CA,SAU,Saudi Arabia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","87,628.02","85,073.10","64,223.43","51,345.08","46,618.60","40,048.29","44,628.16","39,682.29","42,745.16","40,503.12","44,433.27","48,666.19","47,617.82","46,075.25","45,222.55","44,232.57","44,311.43","43,727.09","43,914.22","41,249.00","42,525.49","41,004.02","38,893.26","42,226.59","44,488.30","45,426.51","45,159.50","44,482.61","45,712.60","43,303.87","43,996.70","47,434.59","48,605.29","49,677.21","50,615.17","51,456.18","51,186.04","49,855.99","50,005.26","49,235.98","46,028.72","49,099.55","52,345.98","52,889.64",2021,,
euro-area,MLT,Malta,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","15,683.33","15,966.69","15,887.34","15,714.77","15,968.97","16,213.92","16,390.18","17,201.95","18,249.33","19,356.95","20,061.64","20,690.40","22,125.19","22,768.08","23,579.77","24,980.17","25,843.75","26,882.93","27,596.73","28,474.13","28,020.63","27,503.56","27,978.50","28,923.78","28,778.12","29,544.90","30,112.20","31,501.98","32,529.64","31,918.64","33,435.78","33,514.07","34,680.40","36,148.91","38,281.81","40,980.19","41,357.22","44,868.05","46,104.04","47,550.34","41,681.19","46,463.33","49,182.35","50,526.62",2022,,
euro-area,FIN,Finland,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","25,385.35","25,625.23","26,282.60","26,937.69","27,642.58","28,480.52","29,156.18","30,102.08","31,587.56","33,088.83","33,025.32","30,931.51","29,730.87","29,382.26","30,408.99","31,561.74","32,603.60","34,564.19","36,343.97","37,845.25","39,939.94","40,904.53","41,492.42","42,231.21","43,804.05","44,876.62","46,515.48","48,782.07","48,946.28","44,775.96","45,985.68","46,947.79","46,069.13","45,439.77","45,069.68","45,145.07","46,282.74","47,621.51","48,078.36","48,624.75","47,416.29","48,785.76","49,672.66","49,676.51",2022,,
LA-C,GUY,Guyana,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","6,566.41","6,590.00","6,008.30","5,333.23","5,473.24","5,527.36","5,557.53","5,601.22","5,313.76","5,113.64","5,001.05","5,317.18","5,728.09","6,182.38","6,678.92","6,977.93","7,502.11","7,922.67","7,755.73","7,954.90","7,826.72","7,991.12","8,083.58","8,037.04","8,167.05","8,004.84","8,398.21","8,963.70","9,116.44","9,381.35","9,765.39","10,255.49","10,743.81","11,092.42","11,235.19","11,268.17","11,601.86","11,964.64","12,426.25","13,052.24","18,671.30","22,349.71","36,162.44","49,473.16",2019,,
ME-CA,BHR,Bahrain,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","44,999.95","44,474.09","45,665.91","47,248.85","47,622.14","45,608.11","44,267.01","42,219.68","43,179.68","42,099.80","43,198.22","42,418.50","44,699.05","46,848.98","47,097.89","46,756.83","47,021.61","46,873.72","47,868.80","49,408.69","51,500.17","50,888.65","48,948.39","48,357.61","48,013.99","47,510.52","46,811.96","46,847.33","46,748.23","45,010.86","44,826.72","47,228.90","48,424.65","49,246.00","48,989.61","48,164.15","48,006.93","47,486.02","48,424.43","50,118.48","48,165.54","48,394.42","49,191.62","49,430.45",2021,,
major-advanced,CAN,Canada,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","30,338.40","31,003.55","29,658.32","30,125.96","31,605.57","32,799.61","33,176.33","34,095.46","35,128.55","35,330.43","34,853.97","33,694.31","33,593.09","34,092.99","35,245.66","35,820.46","36,022.70","37,190.07","38,310.30","39,965.61","41,650.36","41,952.43","42,752.97","43,117.35","44,033.29","45,016.85","45,740.72","46,234.50","46,205.53","44,343.81","45,206.13","46,165.98","46,482.40","47,063.78","47,924.29","47,853.97","47,831.31","48,688.11","49,352.63","49,565.49","46,508.36","48,547.99","49,368.96","49,088.63",2022,,
euro-area,FRA,France,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","28,720.55","28,867.90","29,408.88","29,605.57","29,939.04","30,309.56","30,857.55","31,498.95","32,777.18","34,075.26","34,873.29","35,089.08","35,443.70","35,045.12","35,751.36","36,440.69","36,818.84","37,561.93","38,791.30","39,932.83","41,321.21","41,830.73","42,024.82","42,086.40","42,871.80","43,287.99","44,114.66","44,876.40","44,700.66","43,224.55","43,802.15","44,554.42","44,500.23","44,578.48","44,776.50","45,056.68","45,380.63","46,369.70","47,066.28","47,766.95","43,873.98","46,714.52","47,788.45","47,988.10",2021,,
other-advanced,KOR,South Korea,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","5,486.84","5,793.32","6,180.13","6,904.25","7,539.15","8,050.48","8,873.67","9,904.67","10,983.94","11,645.07","12,669.89","13,897.22","14,606.09","15,452.84","16,716.07","18,139.81","19,385.58","20,389.68","19,204.67","21,255.24","22,988.11","23,919.36","25,618.67","26,288.35","27,545.28","28,671.23","30,022.48","31,603.58","32,309.52","32,398.46","34,431.15","35,426.69","36,087.61","37,060.59","38,007.94","38,870.12","39,857.09","41,001.07","42,010.61","42,804.16","42,441.95","44,279.34","45,509.89","46,257.47",2021,,
major-advanced,GBR,United Kingdom,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","25,266.33","25,017.51","25,470.32","26,443.11","26,901.66","27,833.05","28,484.27","29,904.11","31,391.79","31,979.66","32,093.30","31,441.76","31,371.58","31,960.42","32,987.59","33,590.60","34,149.60","35,602.74","36,625.70","37,595.25","38,999.65","39,688.05","40,218.69","41,286.28","42,033.82","42,824.68","43,452.10","44,208.40","43,779.61","41,511.52","42,182.20","42,278.87","42,608.49","43,112.52","44,153.81","44,854.25","45,449.89","46,284.11","46,792.68","47,286.43","41,892.22","44,941.86","46,406.96","46,065.58",2020,,
other-advanced,ISR,Israel,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","19,251.23","20,017.11","19,944.25","20,034.45","20,216.33","20,747.49","21,155.31","22,375.04","22,792.66","22,724.75","23,493.69","23,143.76","23,942.17","24,205.20","25,251.01","26,953.76","27,847.83","28,199.95","28,653.30","28,881.62","30,545.04","29,930.89","29,303.34","29,176.60","30,037.67","30,734.11","31,875.69","33,212.30","33,680.50","33,180.89","34,423.25","35,671.69","35,927.66","36,820.68","37,537.15","37,714.10","38,650.33","39,533.60","40,356.32","41,236.71","39,753.58","42,471.87","44,335.46","44,863.41",2021,,
euro-area,CYP,Cyprus,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","15,469.47","15,743.34","16,545.48","17,199.05","18,466.90","19,118.12","19,571.54","20,741.39","22,233.39","23,684.34","24,914.91","24,445.20","26,046.98","25,592.44","26,542.21","28,886.96","28,760.21","29,077.66","30,447.93","31,611.73","33,126.86","34,087.61","34,956.32","35,462.45","36,772.05","38,021.89","39,228.27","40,471.46","40,953.05","39,090.27","38,898.05","38,101.26","35,837.76","33,327.72","33,036.26","34,608.94","36,827.28","38,643.40","40,380.70","42,045.73","39,659.74","41,914.39","43,849.40","44,548.57",2022,,
euro-area,ITA,Italy,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","29,816.93","29,934.74","29,957.60","30,213.87","31,122.98","31,925.64","32,785.28","33,792.79","35,145.06","36,262.60","36,952.04","37,450.91","37,702.47","37,355.86","38,116.53","39,137.73","39,633.66","40,336.24","41,046.34","41,710.17","43,278.76","44,094.50","44,181.20","44,093.06","44,390.39","44,420.06","45,025.68","45,522.09","44,708.94","42,049.40","42,576.59","42,693.08","41,312.46","40,436.08","40,388.27","40,736.64","41,353.93","42,111.53","42,592.86","42,885.33","39,149.25","42,318.29","43,910.30","44,226.48",2021,,
other-advanced,NZL,New Zealand,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","24,380.69","24,971.12","25,490.87","25,218.13","26,679.09","26,743.14","26,981.78","27,395.19","27,295.24","27,132.05","26,819.31","25,783.53","25,691.62","26,727.55","27,843.92","28,777.89","29,483.59","29,817.55","29,678.24","30,836.05","31,945.41","32,524.52","33,503.93","34,317.81","35,444.94","36,167.82","36,745.29","37,664.49","37,219.82","36,430.92","36,665.38","37,041.76","37,754.48","38,318.62","39,115.66","39,739.87","40,376.49","40,918.97","41,608.22","42,169.19","40,727.11","42,993.56","43,921.81","44,087.72",2021,,
ME-CA,KWT,Kuwait,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","60,819.81","47,176.83","40,839.55","41,091.05","42,325.15","38,139.37","39,105.76","40,064.10","34,235.93","41,049.18","29,855.92","27,584.55","48,296.40","62,617.90","55,004.86","52,213.91","49,258.85","47,771.51","48,165.16","47,635.12","50,719.84","48,803.06","47,972.28","53,486.41","54,790.23","55,521.32","56,100.19","55,672.33","56,353.39","51,718.13","49,122.63","52,173.87","54,031.66","53,456.85","51,763.36","50,281.42","50,007.31","46,479.56","45,720.83","43,994.79","41,006.31","40,969.13","43,591.73","43,264.43",2020,,
euro-area,SVN,Slovenia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"18,984.77","19,614.41","20,653.97","21,497.92","22,263.42","23,426.23","24,219.81","25,596.15","26,410.42","27,227.95","28,126.96","28,944.85","30,185.51","31,313.84","33,017.82","35,199.22","36,436.59","33,319.96","33,526.66","33,762.43","32,786.39","32,396.57","33,256.78","33,962.30","35,023.93","36,680.19","38,295.87","39,350.42","37,381.29","40,199.07","42,395.68","42,941.34",2021,,
