"code","iso","country","FSS.raw.1950","FSS.raw.1951","FSS.raw.1952","FSS.raw.1953","FSS.raw.1954","FSS.raw.1955","FSS.raw.1956","FSS.raw.1957","FSS.raw.1958","FSS.raw.1959","FSS.raw.1960","FSS.raw.1961","FSS.raw.1962","FSS.raw.1963","FSS.raw.1964","FSS.raw.1965","FSS.raw.1966","FSS.raw.1967","FSS.raw.1968","FSS.raw.1969","FSS.raw.1970","FSS.raw.1971","FSS.raw.1972","FSS.raw.1973","FSS.raw.1974","FSS.raw.1975","FSS.raw.1976","FSS.raw.1977","FSS.raw.1978","FSS.raw.1979","FSS.raw.1980","FSS.raw.1981","FSS.raw.1982","FSS.raw.1983","FSS.raw.1984","FSS.raw.1985","FSS.raw.1986","FSS.raw.1987","FSS.raw.1988","FSS.raw.1989","FSS.raw.1990","FSS.raw.1991","FSS.raw.1992","FSS.raw.1993","FSS.raw.1994","FSS.raw.1995","FSS.raw.1996","FSS.raw.1997","FSS.raw.1998","FSS.raw.1999","FSS.raw.2000","FSS.raw.2001","FSS.raw.2002","FSS.raw.2003","FSS.raw.2004","FSS.raw.2005","FSS.raw.2006","FSS.raw.2007","FSS.raw.2008","FSS.raw.2009","FSS.raw.2010","FSS.raw.2011","FSS.raw.2012","FSS.raw.2013","FSS.raw.2014","FSS.raw.2015","FSS.raw.2016","FSS.raw.2017","FSS.raw.2018"
52,"BRB","Barbados",NA,0.2058,0.2568,0.4231,0.4051,0.3558,0.2167,0.2279,0.1832,0.2026,0.1833,0.1676,0.142,0.1256,0.1972,0.2066,0.2461,0.2398,0.2781,0.2818,0.224,0.2869,0.3123,0.4329,0.4369,0.3462,0.2696,0.2568,0.3103,0.2962,0.3311,0.3425,0.3807,0.398,0.38,0.3809,0.3814,0.2865,0.1841,0.2787,0.3473,0.2577,0.2644,0.3037,0.2989,0.425,0.5608,0.4863,0.4632,0.4398,0.4944,0.4986,0.5278,0.5106,0.4877,0.4762,0.4803,0.5079,0.5217,0.5356,0.519,0.5427,0.5312,0.4887,0.49,0.4732,0.4572,0.4358,0.3929
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"BLZ","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,"BEN","Benin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2427,0.1016,0.0704,NA,0.0253,0.1893,0.0304,0.2409,0.2945,0.2601,0.2454,0.1279,0.1176,0.1165,0.1094,0.1873,0.139,0.1238,0.0995,0.1142,0.1534,0.1415,0.197,0.2335,0.2597,0.2161,0.2824,0.1851,0.2128,0.1475,0.1267,0.1277,0.1238,0.1757,0.1506,0.1545,0.1445,0.2232,0.186,0.1219,0.1026,0.1146,0.1401,0.1174,0.1119,0.1489,0.1921,0.2265,0.214,0.2065,0.2363,0.2524
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002798235,0.003698438,0.012395181,0.011094381,0.009195425,0.007165866,0.019999314,0.02401357,0.034106809,0.037197293,0.047328326,0.054323784,0.055422358,0.061922653,0.084415569,0.101316151,0.104625712,0.090332665,0.079219604,0.074658941,0.074958899,0.07434855,0.071421167,0.067929033,0.072721012,0.072532085,0.075088895,0.084196486,0.147566325,0.23397444,0.318016937,0.31813148,0.320192575,0.313325043,0.361940932,0.40117914,0.402257242,0.349888833,0.268841392,0.222303066,0.191647173,0.194943231,0.199229048,0.185634026,0.17077753,0.170492535,0.186098661,0.187252282,0.190084369,0.164843716,0.14035768,0.123638772,0.124768745,0.144194407,0.164522054,0.175357961,0.163961922,0.141035877
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1805,NA,NA,0.1723,0.1841,0.1573,0.1552,0.1532,0.1512,0.1483,0.1464,0.1446,0.1432,0.1413,0.1391,0.1369,0.1348,0.1318,0.127,0.1206,0.1092,0.1056,0.1004,0.1128,0.1205,0.1314,0.1254,0.109,0.0983,0.0882,0.0698,0.0522,NA,NA,0.0354,0.036,0.0343,0.0521,0.0698,0.0876,0.0873,0.0868,0.0867,0.0862,0.0863,0.0867
96,"BRN","Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"BGR","Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0235,0.0443,NA,0.0011,8e-04,8e-04,6e-04,4e-04,5e-04,6e-04,NA,0.0431,0.0592,0.0628,0.0707,0.0755,0.13,0.1741,0.1968,0.1319,0.1328,0.1466,0.1918,0.1782,0.1552,0.208,0.2643,0.359,0.381,0.3359,0.2347,0.1796,0.1608,0.2204,0.282,0.3594,0.3453,0.3113,0.2492,0.2045,0.2013,0.1949,0.194,0.0972,0.0035
116,"KHM","Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0042,0.0029,0.0022,0.0018,0.001,5e-04,1e-04,0.0056,0.0109,0.0164,0.0187,0.0202,0.0212,0.0192,0.0144,0.0088,0.0055,0.0069,0.0081,0.009,0.0074,0.0056,0.0037,0.0028,0.0022,0.0021,0.0026,0.004,0.0048,0.0049,0.0052,0.0057,0.0057,0.0043,0.004,0.0165,0.0258,0.0273,0.0177,0.0129,0.0162,0.0277,0.1258,0.2243,0.3434,0.3215,0.3495,0.339,0.3678,0.4154,0.463,0.4929,0.472,0.4694
120,"CMR","Cameroon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"CAN","Canada",NA,NA,NA,NA,NA,0.003160198,0.002754105,0.005210466,0.007376539,0.00988783,0.009748543,0.010026386,0.009595182,0.011374174,0.011197598,0.010282108,0.012317956,0.010830582,0.011624155,0.014416597,0.054437176,0.127717453,0.182906119,0.245757984,0.372458006,0.553630703,0.70505837,0.728647539,0.752134616,0.770316865,0.769967433,0.760548133,0.752278467,0.749082785,0.756668308,0.734092172,0.708283315,0.677236805,0.658084755,0.626779416,0.620775695,0.586942764,0.580098901,0.522786801,0.466872555,0.459217469,0.489033573,0.473392701,0.474804395,0.46697708,0.495116175,0.469751526,0.450044685,0.402814934,0.377613562,0.357219277,0.363871025,0.371118326,0.396229679,0.4376562,0.450941801,0.439506464,0.426674221,0.434873036,0.444392738,0.40953832,0.42718449,0.40950202,0.362796389
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,"CHN","China",NA,NA,NA,NA,9e-04,0.0076,0.0108,0.0162,0.0209,0.0274,0.0272,0.0227,0.016,0.0203,0.0239,0.0294,0.0335,0.0335,0.0327,0.0248,0.0225,0.0211,0.0247,0.0406,0.0508,0.0596,0.0615,0.0684,0.0741,0.0773,0.0837,0.0809,0.0713,0.0611,0.0532,0.0499,0.0422,0.0353,0.034,0.0356,0.0465,0.0579,0.0677,0.0733,0.0665,0.0581,0.0461,0.0491,0.0567,0.0706,0.0747,0.0847,0.1051,0.1264,0.1414,0.1436,0.1503,0.1704,0.1836,0.1945,0.1664,0.1471,0.1231,0.1088,0.129,0.155,0.2344,0.2548,0.2552
170,"COL","Colombia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014591711,0.016320034,0.051019808,NA,0.047350877,0.111098775,0.226024328,0.306815403,0.318880132,0.283958087,0.164283027,0.303691556,0.351849138,0.253353799,0.210755672,0.128083831,0.190956327,0.242871883,0.364555459,0.365196806,0.270302509,0.335104097,0.358867697,0.453092879,0.42560897,0.357633204,0.311092251,0.298833117,0.312059166,0.354244599,0.493415596,0.516616864,0.469009629,0.31429733,0.290823549,0.456836471,0.416656806,0.476474469,0.377282256,0.33146149,0.43113082,0.648703339,0.357210212,0.270891519,0.267587594,0.355620493,0.451847736,0.567206423,0.64651835,0.602803077,0.692763274,0.497683906,0.416178012,0.34921749,0.298593465,0.5112297
174,"COM","Comoros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4256,NA,NA,NA,NA,NA,NA,NA,0.3103,NA,0.0096,0.0066,NA,0.0273,8e-04,0.0054,NA,NA,NA,NA,NA,0.0076,0.0098,0.0075,0.0028,0.0035,0.003,0.0029,0.0021,0.0026,0.0023,0.0032,0.0015,0.0017,0.0017,0.0018,0.0121,0.0049,0.0049,0.0029,0.0014,0.0022,0.0036,0.0041,NA,NA,0.0106,NA,0.0319,0.0484,0.0576,0.0409,0.0283,0.0347,0.0659
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0074,0.0119,0.0158,0.0159,0.0122,0.0103,0.0107,0.3238,0.494,0.3878,0.2505,0.19,0.2034,0.2472,0.2306,0.2016,0.1034,0.1304,0.1369,0.1086,0.1334,0.1747,0.3476,0.4125,0.3587,0.2756,0.2506,0.2594,0.3484,0.2932,0.3461,0.3104,0.2708,0.217,0.224,0.2651,0.3401,0.3932,0.4027,0.3783,0.3189,0.2799,0.2778,0.2887,0.2879,0.2702,0.2743,0.2612,0.2898,0.3182,0.3657
384,"CIV","Cote d'Ivoire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0084,0.0109,0.0149,0.0441,0.064,0.0723,0.0487,0.0366,0.0355,0.0326,0.0324,0.0384,0.0369,0.0297,0.0662,0.0863,0.1339,0.1056,0.1231,0.1154,0.112,0.0871,0.0731,0.0742,0.0845,0.0789,0.0603,0.0644,0.0802,0.0953,0.0786,0.1015,0.1087,0.1008,0.0538,0.046,0.087,0.1798,0.2782,0.257,0.2469,0.2313,0.2928,0.2661,0.2598,0.2204,0.1791,0.1532,0.1933,0.2096,0.1987,0.1491,0.1229,0.1065
