WEO Country Code,ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
193,AUS,Australia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,20920.47,23168.96,23037.51,20388.91,21762.4,20895.4,19486.8,21692.33,27288.99,32853.01,36232.61,37949.1,45180.86,49194.71,45770.5,56579.03,67270.36,68450.31,65200.37,61615.05,51412.25,51813.64,55797.38,56341.94,54266.75,53071.72,63896.3,65526.12,2021
193,AUS,Australia,Population,Persons,Millions,Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2021 Primary domestic currency: Australian dollar Data last updated: 03/2023,18.12,18.33,18.51,18.706,18.919,19.141,19.386,19.605,19.827,20.046,20.312,20.628,21.016,21.476,21.866,22.172,22.522,22.928,23.298,23.64,23.985,24.386,24.761,25.151,25.527,25.639,25.767,25.973,2021
223,BRA,Brazil,Gross domestic product constant prices,National currency,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1995 Chain-weighted: No Primary domestic currency: Brazilian real Data last updated: 03/2023,705.992,721.586,746.082,748.605,752.108,785.111,796.023,820.328,829.688,877.477,905.575,941.453,998.598,1049.47,1048.15,1127.06,1171.85,1194.36,1230.25,1236.45,1192.61,1153.54,1168.8,1189.65,1204.17,1164.71,1222.82,1258.29,2022
223,BRA,Brazil,Gross domestic product constant prices,Percent change,,See notes for:  Gross domestic product constant prices (National currency).,4.417,2.209,3.395,0.338,0.468,4.388,1.39,3.053,1.141,5.76,3.202,3.962,6.07,5.094,-0.126,7.528,3.974,1.921,3.005,0.504,-3.546,-3.276,1.323,1.784,1.221,-3.277,4.989,2.901,2022
223,BRA,Brazil,Gross domestic product current prices,U.S. dollars,Billions,See notes for:  Gross domestic product current prices (National currency).,770.86,851.146,883.862,864.307,599.642,655.454,559.982,509.798,558.232,669.29,891.633,1107.63,1397.11,1695.86,1669.2,2208.7,2614.03,2464.05,2471.72,2456.06,1800.05,1796.62,2063.52,1916.93,1873.29,1476.09,1648.7,1924.13,2022
223,BRA,Brazil,Gross domestic product per capita constant prices,National currency,Units,See notes for:  Gross domestic product constant prices (National currency) Population (Persons).,4443.7,4412.35,4491.66,4437.68,4391.72,4518.21,4517.49,4595.7,4591.32,4798.5,4895.24,5032.84,5282.53,5494.32,5431.36,5783.01,5960.46,6022.56,6151.14,6129.61,5861.18,5622.72,5651.71,5705.89,5730.14,5500.26,5751.5,5882.3,2020
223,BRA,Brazil,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4851.99,5204.57,5321.14,5123.55,3501.44,3772.05,3177.94,2856.03,3089.14,3660.02,4819.87,5921.18,7390.65,8878.36,8649.58,11333.02,13295.9,12424.95,12358.34,12175.68,8846.48,8757.3,9978.09,9194.15,8914.17,6970.72,7754.61,8995.03,2020
223,BRA,Brazil,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2020 Primary domestic currency: Brazilian real Data last updated: 03/2023,158.875,163.538,166.104,168.693,171.256,173.766,176.209,178.499,180.708,182.865,184.991,187.062,189.038,191.01,192.981,194.891,196.604,198.315,200.004,201.718,203.476,205.157,206.805,208.495,210.147,211.756,212.609,213.911,2020
156,CAN,Canada,Gross domestic product constant prices,National currency,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: Yes from 1980 Primary domestic currency: Canadian dollar Data last updated: 03/2023,1188.66,1207.91,1259.61,1308.69,1376.25,1447.51,1473.42,1517.89,1545.23,1592.93,1643.97,1687.28,1722.24,1739.53,1688.64,1740.81,1795.58,1827.2,1869.76,1923.42,1936.1,1955.49,2014.93,2070.89,2109.99,2002.92,2103.31,2174.74,2022
156,CAN,Canada,Gross domestic product constant prices,Percent change,,See notes for:  Gross domestic product constant prices (National currency).,2.694,1.619,4.28,3.896,5.163,5.178,1.79,3.018,1.802,3.087,3.204,2.634,2.072,1.004,-2.926,3.09,3.146,1.761,2.329,2.87,0.659,1.001,3.04,2.777,1.888,-5.074,5.012,3.396,2022
156,CAN,Canada,Gross domestic product current prices,U.S. dollars,Billions,See notes for:  Gross domestic product current prices (National currency).,605.941,630.598,655.01,634.004,678.417,744.631,738.968,760.149,895.599,1026.47,1173.51,1319.36,1468.9,1552.86,1376.51,1617.35,1793.33,1828.36,1846.6,1805.75,1556.51,1528,1649.27,1725.3,1743.73,1647.6,2001.49,2139.84,2022
156,CAN,Canada,Gross domestic product per capita constant prices,National currency,Units,See notes for:  Gross domestic product constant prices (National currency) Population (Persons).,40619.98,40849.32,42173.11,43443.43,45320.53,47231.02,47573.56,48481.37,48894.57,49933.24,51048.58,51869.44,52429.38,52396.53,50285.36,51263.23,52351.68,52710.5,53369.78,54345.59,54265.84,54240.15,55211.74,55965.3,56206.69,52739.93,55052.86,55983.82,2022
156,CAN,Canada,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,20706.73,21325.69,21930.49,21046.56,22340.55,24296.72,23859.71,24279.19,28338.75,32176.59,36439.62,40558.9,44716.99,46773.84,40990.63,47627.35,52285.94,52744,52708.61,51020.84,43626.47,42382.64,45191.99,46625.86,46449.96,43383.71,52387.81,55085.45,2022
156,CAN,Canada,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Canadian dollar Data last updated: 03/2023,29.263,29.57,29.868,30.124,30.367,30.647,30.971,31.309,31.603,31.901,32.204,32.529,32.849,33.199,33.581,33.958,34.298,34.665,35.034,35.392,35.678,36.052,36.495,37.003,37.54,37.977,38.205,38.846,2022
924,CHN,China,Gross domestic product constant prices,National currency,Billions,Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Authorities publish production-based measure; staff estimates expenditure-based measures. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Chinese yuan Data last updated: 03/2023,11473.2,12611.46,13777.67,14860.05,16001.37,17357.02,18800.95,20514.56,22570.42,24853.26,27683.9,31202.53,35647.9,39067.36,42757.5,47294.46,51811.5,55877.49,60219.52,64670.54,69209.37,73950.57,79087.7,84426.81,89451.02,91456.54,99184.26,102147.61,2022
924,CHN,China,Gross domestic product constant prices,Percent change,,See notes for:  Gross domestic product constant prices (National currency).,10.969,9.921,9.247,7.856,7.68,8.472,8.319,9.115,10.021,10.114,11.389,12.71,14.247,9.592,9.446,10.611,9.551,7.848,7.771,7.391,7.018,6.851,6.947,6.751,5.951,2.242,8.45,2.988,2022
924,CHN,China,Gross domestic product current prices,U.S. dollars,Billions,See notes for:  Gross domestic product current prices (National currency).,730.996,860.468,957.991,1024.17,1088.35,1205.53,1333.65,1465.83,1656.96,1949.45,2290.02,2754.15,3555.66,4577.28,5088.99,6033.83,7492.21,8539.58,9624.93,10524.24,11113.51,11226.9,12265.33,13841.81,14340.6,14862.56,17759.31,18100.04,2022
924,CHN,China,Gross domestic product per capita constant prices,National currency,Units,See notes for:  Gross domestic product constant prices (National currency) Population (Persons).,9472.51,10304.4,11144.64,11910.82,12721.11,13694.66,14731.17,15970.48,17465.71,19119.66,21172.18,23737.55,26979.62,29417.75,32040.09,35270.42,38402.78,41109.97,44043.94,46983.23,50033.52,53113.2,56486.78,60072.72,63436.84,64765.42,70213.98,72314.49,2022
924,CHN,China,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,603.526,703.06,774.91,820.903,865.236,951.163,1044.96,1141.14,1282.21,1499.71,1751.37,2095.24,2691.05,3446.7,3813.41,4499.8,5553.24,6282.71,7039.57,7645.88,8034.29,8063.45,8760.26,9848.95,10170.06,10525,12572.07,12813.77,2022
924,CHN,China,Population,Persons,Millions,Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2022 Primary domestic currency: Chinese yuan Data last updated: 03/2023,1211.21,1223.89,1236.26,1247.61,1257.86,1267.43,1276.27,1284.53,1292.27,1299.88,1307.56,1314.48,1321.29,1328.02,1334.5,1340.91,1349.16,1359.22,1367.26,1376.46,1383.26,1392.32,1400.11,1405.41,1410.08,1412.12,1412.6,1412.55,2022
128,DNK,Denmark,Gross domestic product constant prices,National currency,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes from 1980 Primary domestic currency: Danish krone Data last updated: 03/2023,1445.8,1487.8,1536.3,1570.3,1616.6,1677.2,1691,1698.9,1705.5,1751,1792,1862.1,1879,1869.4,1777.7,1810.9,1835.1,1839.3,1856.5,1886.5,1930.7,1993.4,2049.6,2090.4,2121.6,2079.3,2180.3,2259.3,2022
128,DNK,Denmark,Gross domestic product constant prices,Percent change,,See notes for:  Gross domestic product constant prices (National currency).,3.029,2.905,3.26,2.213,2.948,3.749,0.823,0.467,0.388,2.668,2.342,3.912,0.908,-0.511,-4.905,1.868,1.336,0.229,0.935,1.616,2.343,3.248,2.819,1.991,1.493,-1.994,4.857,3.623,2022
128,DNK,Denmark,Gross domestic product current prices,U.S. dollars,Billions,See notes for:  Gross domestic product current prices (National currency).,185.008,187.633,173.539,176.991,177.964,164.158,164.791,178.635,218.097,251.375,264.467,282.886,319.424,353.359,321.243,321.995,344.003,327.149,343.584,352.994,302.673,313.116,332.121,356.841,346.499,355.223,398.303,390.677,2022
128,DNK,Denmark,Gross domestic product per capita constant prices,National currency,Units,See notes for:  Gross domestic product constant prices (National currency) Population (Persons).,277200.57,283335.05,291235.03,296570.64,304239.5,314670.49,316121.33,316465.72,316800.93,324401.04,331152.45,343088.73,344955.21,341393.6,322546.64,327188.03,330016.68,329593.18,331362.35,335244.57,341130.25,349274.98,356528.5,361586.46,365409.99,357098.51,373336.16,384665.15,2022
128,DNK,Denmark,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,35471.26,35732.69,32897.57,33426.97,33492.35,30798.72,30806.61,33275.56,40512.05,46571.28,48872.1,52121.25,58641.19,64531.12,58286.54,58177.16,61864.09,58623.41,61325.58,62729.5,53478.5,54862.85,57772.55,61724.49,59678.6,61005.84,68202.07,66516.08,2022
128,DNK,Denmark,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Danish krone Data last updated: 03/2023,5.216,5.251,5.275,5.295,5.314,5.33,5.349,5.368,5.384,5.398,5.411,5.427,5.447,5.476,5.511,5.535,5.561,5.581,5.603,5.627,5.66,5.707,5.749,5.781,5.806,5.823,5.84,5.873,2022
172,FIN,Finland,Gross domestic product constant prices,National currency,Billions,Source: National Statistics Office. Downloaded through Haver Analytics Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes from 1980 Primary domestic currency: Euro Data last updated: 03/2023,137.709,142.759,151.802,160.086,167.097,176.744,181.356,184.452,188.148,195.659,201.098,209.197,220.283,222.01,204.084,210.586,215.95,212.933,211.012,210.242,211.385,217.328,224.266,226.822,229.599,224.192,231.022,235.836,2022
172,FIN,Finland,Gross domestic product constant prices,Percent change,,See notes for:  Gross domestic product constant prices (National currency).,4.217,3.667,6.334,5.457,4.38,5.773,2.609,1.707,2.004,3.992,2.78,4.027,5.299,0.784,-8.074,3.186,2.547,-1.397,-0.902,-0.365,0.544,2.811,3.192,1.14,1.224,-2.355,3.046,2.084,2022
172,FIN,Finland,Gross domestic product current prices,U.S. dollars,Billions,See notes for:  Gross domestic product current prices (National currency).,134.339,132.183,127.076,134.212,135.398,126.075,129.534,140.305,171.609,197.39,204.999,217.101,256.408,285.685,253.222,249.628,275.556,258.454,271.366,274.934,234.558,240.705,255.558,275.833,268.545,271.668,296.585,281.047,2022
172,FIN,Finland,Gross domestic product per capita constant prices,National currency,Units,See notes for:  Gross domestic product constant prices (National currency) Population (Persons).,27008.36,27899.91,29577.66,31100.67,32385.36,34177.85,35003.28,35506.36,36138.56,37484.49,38402.32,39804.74,41744.34,41884.85,38316.18,39351.37,40174.68,39422.79,38884.22,38567.53,38632.04,39605.58,40751.21,41142.15,41609.71,40575.59,41747.5,42506.45,2022
172,FIN,Finland,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,26347.51,25833.03,24759.98,26074.07,26241.8,24379.78,25001.18,27008.26,32961.92,37816.08,39147.22,41308.62,48590.2,53897.91,47541.75,46647,51263.57,47850.56,50006.02,50434.79,42867.09,43865.76,46437.21,50032.02,48667.72,49168.16,53595.19,50655.13,2022
172,FIN,Finland,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Euro Data last updated: 03/2023,5.099,5.117,5.132,5.147,5.16,5.171,5.181,5.195,5.206,5.22,5.237,5.256,5.277,5.3,5.326,5.351,5.375,5.401,5.427,5.451,5.472,5.487,5.503,5.513,5.518,5.525,5.534,5.548,2022
132,FRA,France,Gross domestic product constant prices,National currency,Billions,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes from 1980 Primary domestic currency: Euro Data last updated: 03/2023,1579.84,1601.31,1638.7,1697.66,1753.55,1825.73,1861.07,1882.93,1898.83,1947.25,1981.04,2033.32,2081.76,2085,2026.88,2063.82,2109.47,2117.11,2131.61,2152.17,2174.87,2196.22,2250.02,2291.06,2334.23,2149.67,2295.2,2355.01,2021
132,FRA,France,Gross domestic product constant prices,Percent change,,See notes for:  Gross domestic product constant prices (National currency).,2.26,1.359,2.335,3.598,3.292,4.116,1.935,1.175,0.844,2.55,1.735,2.639,2.382,0.156,-2.787,1.822,2.212,0.362,0.685,0.965,1.055,0.982,2.449,1.824,1.884,-7.907,6.77,2.606,2021
132,FRA,France,Gross domestic product current prices,U.S. dollars,Billions,See notes for:  Gross domestic product current prices (National currency).,1602.13,1606.04,1454.56,1505.18,1494.63,1366.24,1377.67,1500.35,1844.08,2118.67,2198.16,2320.66,2660.91,2929.98,2697.96,2647.35,2864.65,2685.37,2811.92,2856.7,2439.44,2472.28,2594.24,2792.22,2729.17,2635.92,2957.42,2784.02,2021
132,FRA,France,Gross domestic product per capita constant prices,National currency,Units,See notes for:  Gross domestic product constant prices (National currency) Population (Persons).,27355.41,27639.28,28197.1,29119.97,29976.9,31019.13,31401.61,31547.32,31593.54,32183.13,32495.55,33116.12,33687.95,33556.02,32447.93,32881.53,33446.24,33405.56,33464.31,33612.96,33823.29,34066.47,34808.95,35331.85,35857.83,32935.45,35067.8,35873.98,2021
132,FRA,France,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,27741.29,27720.86,25028.47,25818.37,25550.78,23212.45,23245.26,25137.4,30682.64,35016.22,36057.12,37795.92,43060.03,47155.21,43190.97,42178.58,45419.97,42372.07,44144.62,44616.46,37937.86,38348.51,40134.13,43060.59,41924.84,40385.4,45185.85,42409.05,2021
132,FRA,France,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2021 Primary domestic currency: Euro Data last updated: 03/2023,57.753,57.936,58.116,58.299,58.497,58.858,59.267,59.686,60.102,60.505,60.963,61.4,61.795,62.135,62.466,62.765,63.07,63.376,63.698,64.028,64.301,64.469,64.639,64.844,65.097,65.269,65.45,65.647,2021
134,DEU,Germany,Gross domestic product constant prices,National currency,Billions,Source: National Statistics Office Latest actual data: 2022 Notes: Data until 1990 refers to German federation only (West Germany). National accounts data until 1990 do not include FISIM. Data from 1991 refer to United Germany and include FISIM. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes from 1991 Primary domestic currency: Euro Data last updated: 03/2023,2328.27,2347.26,2389.17,2437.44,2483.43,2555.54,2598.65,2593.43,2575.2,2605.69,2624.61,2724.7,2805.95,2832.87,2671.51,2783.32,2892.27,2904.61,2917.17,2981.84,3026.19,3093.67,3176.58,3207.83,3241.64,3121.95,3203.89,3260.86,2022
134,DEU,Germany,Gross domestic product constant prices,Percent change,,See notes for:  Gross domestic product constant prices (National currency).,1.541,0.816,1.785,2.02,1.887,2.904,1.687,-0.201,-0.703,1.184,0.726,3.814,2.982,0.959,-5.696,4.185,3.914,0.427,0.432,2.217,1.487,2.23,2.68,0.984,1.054,-3.692,2.625,1.778,2022
134,DEU,Germany,Gross domestic product current prices,U.S. dollars,Billions,See notes for:  Gross domestic product current prices (National currency).,2588,2498.11,2214.69,2242.07,2197.13,1948.84,1945.8,2077.02,2501.01,2813.08,2848.44,2994.86,3425.98,3744.85,3407.56,3402.44,3748.66,3529.38,3733.86,3890.1,3357.93,3468.9,3689.55,3976.25,3888.66,3886.56,4262.77,4075.4,2022
134,DEU,Germany,Gross domestic product per capita constant prices,National currency,Units,See notes for:  Gross domestic product constant prices (National currency) Population (Persons).,28635.19,28812.58,29311.28,29926.98,30500.54,31372.97,31878.43,31790.61,31578.56,31988.83,32268.34,33566.27,34644.46,35075.9,33193.37,34668.1,36029.3,36115.2,36172.53,36820.45,37046.16,37567.68,38430.87,38692.49,39012.19,37541.04,38510.15,38915.31,2022
134,DEU,Germany,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,31829.61,30664.3,27170.75,27528.16,26984.24,23924.88,23869.77,25460.33,30668.85,34534.81,35020.2,36894.47,42299.86,46367.86,42338.71,42379.71,46697.38,43883.39,46299.37,48035.8,41107.22,42124.2,44636.83,47961.04,46798.83,46735.31,51237.64,48636.03,2022
134,DEU,Germany,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Primary domestic currency: Euro Data last updated: 03/2023,81.308,81.467,81.51,81.446,81.423,81.457,81.518,81.579,81.549,81.456,81.337,81.174,80.993,80.764,80.483,80.285,80.276,80.426,80.646,80.983,81.687,82.349,82.657,82.906,83.093,83.161,83.196,83.794,2022
534,IND,India,Gross domestic product constant prices,National currency,Billions,Source: National Statistics Office. The original data is in fiscal years which begins in April and ends in March to match with authorities' reporting methods. Latest actual data: FY2021/22. Latest quarterly data is as of December 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No. Fiscal data are mapped to calendar year as follows: FY(t/t+1) = CY(t). Start/end months of reporting year: April/March Base year: FY2011/12. The base year is by Fiscal Year which is April to March (e.g. FY2004: April 2004 - March 2005). Growth rates of real GDP calculated from 1998 to 2011 are as per national accounts with base year 2004/05 and thereafter are as per national accounts with base year 2011/12 Chain-weighted: No Primary domestic currency: Indian rupee Data last updated: 03/2023,29558.71,31790.31,33077.72,35123.36,38095.83,39610.14,41568.62,43192.88,46624.11,50283.62,54952.32,60043.16,65928.23,68493.43,74301.57,81924.89,87363.3,92130.2,98013.7,105276.7,113694.9,123081.9,131445.8,139929.1,145346.4,136871.2,149258.4,159453.69,2022
534,IND,India,Gross domestic product constant prices,Percent change,,See notes for:  Gross domestic product constant prices (National currency).,7.575,7.55,4.05,6.184,8.463,3.975,4.944,3.907,7.944,7.849,9.285,9.264,9.801,3.891,8.48,10.26,6.638,5.456,6.386,7.41,7.996,8.256,6.795,6.454,3.871,-5.831,9.05,6.831,2022
534,IND,India,Gross domestic product current prices,U.S. dollars,Billions,See notes for:  Gross domestic product current prices (National currency).,366.6,399.791,423.189,428.767,466.867,476.61,493.953,523.97,618.358,721.589,834.217,949.117,1238.7,1224.1,1365.37,1708.46,1823.05,1827.64,1856.72,2039.13,2103.59,2294.8,2651.47,2702.93,2835.61,2671.6,3150.31,3386.4,2022
534,IND,India,Gross domestic product per capita constant prices,National currency,Units,See notes for:  Gross domestic product constant prices (National currency) Population (Persons).,30653.69,32330.85,33000.66,34386.31,36613,37380.97,38526.17,39326.57,41724.96,44253.45,47592.65,51215.03,55416.23,56759.31,60721.75,66035.79,69467.1,72288.05,75912.99,80533.17,85945.86,91945.73,97065.59,102212.39,105086.5,98018.09,105860.68,112028.52,2013
534,IND,India,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,380.181,406.589,422.203,419.77,448.695,449.787,457.8,477.068,553.382,635.054,722.492,809.568,1041.19,1014.39,1115.83,1377.11,1449.6,1434.02,1438.06,1559.86,1590.17,1714.28,1957.97,1974.38,2050.16,1913.22,2234.34,2379.21,2013
534,IND,India,Population,Persons,Millions,Source: National Statistics Office Latest actual data: FY2012/13 Primary domestic currency: Indian rupee Data last updated: 03/2023,964.279,983.281,1002.34,1021.44,1040.5,1059.63,1078.97,1098.31,1117.42,1136.27,1154.64,1172.37,1189.69,1206.74,1223.64,1240.61,1257.62,1274.49,1291.13,1307.25,1322.87,1338.64,1354.2,1369,1383.11,1396.39,1409.95,1423.33,2013
136,ITA,Italy,Gross domestic product constant prices,National currency,Billions,Source: National Statistics Office Latest actual data: 2022. Annual and quarterly data are on the work-adjusted basis. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes from 1980 Primary domestic currency: Euro Data last updated: 03/2023,1499.36,1518.35,1546.14,1574.13,1599.72,1660.3,1692.7,1697,1699.35,1723.55,1737.64,1768.76,1795.06,1777.79,1683.91,1712.76,1724.87,1673.46,1642.65,1642.57,1655.36,1676.77,1704.73,1720.52,1728.83,1573.6,1683.54,1745.4,2022
136,ITA,Italy,Gross domestic product constant prices,Percent change,,See notes for:  Gross domestic product constant prices (National currency).,2.683,1.267,1.83,1.811,1.626,3.787,1.951,0.254,0.139,1.424,0.818,1.791,1.487,-0.962,-5.281,1.713,0.707,-2.981,-1.841,-0.005,0.778,1.293,1.668,0.926,0.483,-8.979,6.987,3.675,2022
136,ITA,Italy,Gross domestic product current prices,U.S. dollars,Billions,See notes for:  Gross domestic product current prices (National currency).,1175.28,1312.78,1243.23,1271.7,1253.69,1147.18,1168.03,1275.87,1577.23,1805.72,1859.24,1949.66,2213.36,2408.39,2197.54,2137.85,2294.59,2088.28,2141.95,2162.57,1836.82,1876.55,1961.1,2092.88,2011.52,1895.69,2115.76,2012.01,2022
