"code","iso","country","APR.raw.2020"
442,"LUX","Luxembourg",12.09
446,"MAC","Macao",NA
450,"MDG","Madagascar",0.277
454,"MWI","Malawi",2.826
458,"MYS","Malaysia",71.713
462,"MDV","Maldives",NA
466,"MLI","Mali",0.004
470,"MLT","Malta",NA
584,"MHL","Marshall Islands",NA
478,"MRT","Mauritania",0.047
480,"MUS","Mauritius",NA
484,"MEX","Mexico",5.224
583,"FSM","Micronesia",NA
498,"MDA","Moldova",6.812
492,"MCO","Monaco",NA
496,"MNG","Mongolia",0.152
499,"MNE","Montenegro",1.085
504,"MAR","Morocco",4.011
508,"MOZ","Mozambique",0.412
104,"MMR","Myanmar",1.887
516,"NAM","Namibia",0.037
520,"NRU","Nauru",NA
524,"NPL","Nepal",0.412
528,"NLD","Netherlands",27.403
540,"NCL","New Caledonia",NA
554,"NZL","New Zealand",6.902
558,"NIC","Nicaragua",8.963
562,"NER","Niger",0.015
566,"NGA","Nigeria",18.823
570,"NIU","Niue",NA
408,"PRK","North Korea",26.771
807,"MKD","North Macedonia",0.981
578,"NOR","Norway",3.516
512,"OMN","Oman",1.176
586,"PAK","Pakistan",0.047
585,"PLW","Palau",NA
591,"PAN","Panama",13.274
598,"PNG","Papua New Guinea",0.182
600,"PRY","Paraguay",16.826
604,"PER","Peru",15.15
608,"PHL","Philippines",37.965
616,"POL","Poland",7.222
620,"PRT","Portugal",14.359
634,"QAT","Qatar",0.158
178,"COG","Republic of Congo",0.21
642,"ROU","Romania",2.638
643,"RUS","Russia",1.243
646,"RWA","Rwanda",1.03
652,"BLM","Saint Barthelemy",NA
659,"KNA","Saint Kitts and Nevis",NA
662,"LCA","Saint Lucia",NA
670,"VCT","Saint Vincent and the Grenadines",NA
882,"WSM","Samoa",NA
674,"SMR","San Marino",35.76
678,"STP","Sao Tome and Principe",NA
682,"SAU","Saudi Arabia",5.932
686,"SEN","Senegal",0.738
688,"SRB","Serbia",9.763
690,"SYC","Seychelles",NA
694,"SLE","Sierra Leone",6.567
702,"SGP","Singapore",40.915
534,"SXM","Sint Maarten",NA
703,"SVK","Slovakia",5.171
705,"SVN","Slovenia",9.242
90,"SLB","Solomon Islands",NA
706,"SOM","Somalia",14.34
710,"ZAF","South Africa",8.307
410,"KOR","South Korea",25.929
728,"SSD","South Sudan",0.903
724,"ESP","Spain",15.293
144,"LKA","Sri Lanka",7.049
275,"PSE","State of Palestine",27.395
729,"SDN","Sudan",0.528
740,"SUR","Suriname",33.562
752,"SWE","Sweden",1.597
756,"CHE","Switzerland",16.494
760,"SYR","Syria",0.894
158,"TWN","Taiwan",26.523
762,"TJK","Tajikistan",1.357
834,"TZA","Tanzania",0.002
764,"THA","Thailand",5.516
626,"TLS","Timor-Leste",0.039
768,"TGO","Togo",1.823
776,"TON","Tonga",NA
780,"TTO","Trinidad and Tobago",84.187
788,"TUN","Tunisia",0.523
792,"TUR","Turkey",8.315
795,"TKM","Turkmenistan",8.969
796,"TCA","Turks and Caicos Islands",NA
798,"TUV","Tuvalu",NA
800,"UGA","Uganda",0.111
804,"UKR","Ukraine",15.279
784,"ARE","United Arab Emirates",22.265
826,"GBR","United Kingdom",13.811
840,"USA","United States of America",5.974
858,"URY","Uruguay",30.692
860,"UZB","Uzbekistan",13.281
548,"VUT","Vanuatu",NA
862,"VEN","Venezuela",3.413
704,"VNM","Viet Nam",7.174
876,"WLF","Wallis and Futuna Islands",NA
732,"ESH","Western Sahara",0.007
887,"YEM","Yemen",0.096
894,"ZMB","Zambia",1.613
716,"ZWE","Zimbabwe",3.232
