"code","iso","country","GHI.raw.1990","GHI.raw.1991","GHI.raw.1992","GHI.raw.1993","GHI.raw.1994","GHI.raw.1995","GHI.raw.1996","GHI.raw.1997","GHI.raw.1998","GHI.raw.1999","GHI.raw.2000","GHI.raw.2001","GHI.raw.2002","GHI.raw.2003","GHI.raw.2004","GHI.raw.2005","GHI.raw.2006","GHI.raw.2007","GHI.raw.2008","GHI.raw.2009","GHI.raw.2010","GHI.raw.2011","GHI.raw.2012","GHI.raw.2013","GHI.raw.2014","GHI.raw.2015","GHI.raw.2016","GHI.raw.2017","GHI.raw.2018","GHI.raw.2019"
31,"AZE","Azerbaijan",1.29842759839456e-06,1.29750212595382e-06,1.56406657511464e-06,1.82464421073998e-06,2.00242147900331e-06,1.89094046757118e-06,1.76823507771058e-06,1.61997416642847e-06,1.55287923950476e-06,1.37482150592196e-06,1.27271279103697e-06,1.12991518215526e-06,1.03749072458981e-06,9.98179673635084e-07,9.59704724750538e-07,8.01734561408111e-07,6.11546843766241e-07,4.84207594565026e-07,4.87256824075449e-07,4.0168963768731e-07,3.735001661208e-07,3.98803770196688e-07,4.14549594142457e-07,4.00643998928057e-07,3.98555423560331e-07,4.00779462838265e-07,4.11311037439966e-07,4.00970702785505e-07,4.08846854413619e-07,4.27571107548971e-07
44,"BHS","Bahamas",2.18611803650832e-07,2.28210387095578e-07,2.37469449539443e-07,2.26826167526902e-07,2.19646596017696e-07,2.11451597789025e-07,2.03187648721547e-07,1.71482445215749e-07,2.1981387550685e-07,1.99482512807823e-07,1.91136135499202e-07,1.80253359215378e-07,1.80433084434599e-07,1.84254571567491e-07,1.86418488207607e-07,1.67627156867421e-07,1.60419498068892e-07,1.60878123260679e-07,2.08552407311698e-07,1.56477720053942e-07,2.14496974307141e-07,1.70474028725385e-07,1.73116308144046e-07,2.53707965208798e-07,2.10973254788835e-07,1.85822473218245e-07,1.65743683950665e-07,1.73330229279977e-07,1.71677897890504e-07,1.75588675645912e-07
48,"BHR","Bahrain",1.59402532432112e-06,1.3899358169723e-06,1.3565760570356e-06,1.39560953153316e-06,1.38606385179541e-06,1.33956657245745e-06,1.33707795807939e-06,1.27101858627038e-06,1.26420109240959e-06,1.26404306303755e-06,1.22583405699142e-06,1.07094421509216e-06,1.05314140882048e-06,9.87164222836846e-07,9.51689934382358e-07,9.58147576628683e-07,8.91319123766553e-07,9.83502008465076e-07,1.02257967385524e-06,9.76160341927746e-07,9.41421212304844e-07,9.20403971040425e-07,9.05677166924537e-07,9.66529775584915e-07,9.36688992086214e-07,9.35189611821165e-07,8.90119862107076e-07,8.66146053265314e-07,7.63256434439728e-07,7.84495033665379e-07
50,"BGD","Bangladesh",6.76775421567185e-07,6.61448486484224e-07,6.43359293319736e-07,6.22386262268315e-07,6.18922055713172e-07,6.22259881081994e-07,5.99430750139495e-07,5.81329421937207e-07,5.53404006005614e-07,5.55193304970283e-07,5.38296706462804e-07,5.35118728435449e-07,5.27139385450141e-07,5.11699901226642e-07,4.95361761502962e-07,4.79385758010392e-07,4.69180744937983e-07,4.44593484684888e-07,4.4048701738391e-07,4.30122890676843e-07,4.22303906071848e-07,4.07052710062665e-07,3.91807797491102e-07,3.73735203543572e-07,3.64403342587439e-07,3.57916499637204e-07,3.3826946500667e-07,3.27428959865193e-07,3.14591212961176e-07,3.04607183020931e-07
52,"BRB","Barbados",3.80050925459358e-07,4.32005107730039e-07,3.91140486970095e-07,4.23573943834517e-07,3.08176631878545e-07,3.22799096426836e-07,3.15492667290399e-07,3.20278251068509e-07,3.62121500584185e-07,3.77353280387794e-07,3.61300565715105e-07,3.72445244181925e-07,3.68888627489373e-07,3.72948531582464e-07,3.75728951156046e-07,3.70976844627127e-07,3.51214095408082e-07,3.48974299671342e-07,3.99145874977543e-07,4.16461304075115e-07,3.96169424629794e-07,4.13288381370079e-07,4.00827726914841e-07,4.01947909522972e-07,3.58078782878312e-07,3.51798895424981e-07,3.48342788193147e-07,3.18994515358324e-07,3.29090594292848e-07,3.38931112823418e-07
112,"BLR","Belarus",1.51864716593316e-06,1.51558003449507e-06,1.54868092969577e-06,1.49626141311724e-06,1.47493629203847e-06,1.55682032204544e-06,1.50917626055384e-06,1.33910276962257e-06,1.21133795995645e-06,1.14041477578026e-06,1.04143797550719e-06,9.86383389478553e-07,9.36766138062848e-07,8.88209411014973e-07,8.40401424383291e-07,7.78422035084364e-07,7.36444440112926e-07,6.66228056206093e-07,6.3019930610043e-07,6.12553297308857e-07,5.83466169865842e-07,6.37672404484256e-07,6.26775132802333e-07,6.20925963527591e-07,6.08859383989045e-07,6.08746845201728e-07,6.1795323453908e-07,6.1257216416517e-07,6.20650875500127e-07,6.21334755723386e-07
56,"BEL","Belgium",3.92494132945559e-07,3.97031595162387e-07,3.93237838634107e-07,3.8584805146617e-07,3.89999353201939e-07,3.8590573989055e-07,3.96276316084558e-07,3.76170580804699e-07,3.78718836252941e-07,3.54915409721527e-07,3.45084064976326e-07,3.37946055251882e-07,3.19304597194704e-07,3.28037572636842e-07,3.14287800418467e-07,3.00895838091251e-07,2.89458162030521e-07,2.7250244143253e-07,2.73395812247957e-07,2.74551033086614e-07,2.8619514699097e-07,2.63421533742845e-07,2.49317090165993e-07,2.54230624487961e-07,2.42174137205766e-07,2.43824483686727e-07,2.36794693965127e-07,2.33064501486912e-07,2.39231323416418e-07,2.28280212300582e-07
84,"BLZ","Belize",7.31378195546504e-07,7.53070271860305e-07,6.5383398632612e-07,6.19005522617992e-07,6.16510750111904e-07,5.91049324988949e-07,5.2144664182292e-07,5.84265590500381e-07,5.63378326540598e-07,5.30131259635505e-07,5.25187262003344e-07,5.46304397571457e-07,5.23841842573875e-07,5.16489904262054e-07,4.16379105416112e-07,4.39015349372548e-07,4.21716896713546e-07,4.51909540381983e-07,4.24362006315827e-07,4.77058818878108e-07,4.60720174286999e-07,4.96213406297101e-07,4.23629771941267e-07,4.66680486285168e-07,4.28241078146596e-07,4.90798673766441e-07,4.87442154623485e-07,4.81632809987251e-07,4.65751114951614e-07,4.95398685942178e-07
204,"BEN","Benin",5.25718675300202e-07,5.28336700609485e-07,5.27114203408534e-07,5.20220811608274e-07,5.46011952930399e-07,5.00772043102888e-07,5.28102553037894e-07,5.16789497525626e-07,5.10596532071643e-07,5.04272871322874e-07,5.00803611547911e-07,4.43023785254848e-07,4.77143554396124e-07,4.63970440036046e-07,4.50657967952563e-07,4.78273073510719e-07,4.89197447654335e-07,4.97910941873759e-07,4.64168661092182e-07,4.76690693335371e-07,5.04665903941953e-07,4.95867232634342e-07,4.71908498542563e-07,4.66585739272781e-07,4.51284374003368e-07,4.65601219131789e-07,4.85524216285292e-07,4.7986830672847e-07,4.65920628811406e-07,4.43019125256102e-07
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",7.03261441907116e-07,7.26543863431126e-07,7.01626333501356e-07,6.63463756159375e-07,6.72839429460796e-07,7.67662718764692e-07,7.68290429981829e-07,7.74739021826177e-07,7.32581984241717e-07,6.99627402233276e-07,6.62964986379206e-07,5.94013870688247e-07,5.58541966171483e-07,5.05252456723653e-07,4.5773961406522e-07,4.82945170386958e-07,4.48234352483056e-07,3.8481268420291e-07,3.6347429176829e-07,3.86587689697986e-07,3.67175096708504e-07,3.73113456270611e-07,3.63890738740841e-07,3.69130351854108e-07,3.59160641603222e-07,3.47696740267132e-07,3.46388631716809e-07,3.49745059683501e-07,3.39713179512969e-07,3.30013051185066e-07
68,"BOL","Bolivia",1.07802104269465e-06,1.06904882695572e-06,1.10875018781576e-06,1.11549441158644e-06,1.13586615921743e-06,1.03929898537409e-06,1.26318495050583e-06,1.56784183738947e-06,1.54772759567465e-06,1.51107936423862e-06,1.40490016117497e-06,1.12762271159835e-06,1.05802182696139e-06,1.11855220421923e-06,1.31581094476814e-06,1.39054340227068e-06,1.40207239380633e-06,1.33054103868302e-06,1.30631123611743e-06,1.29850571606543e-06,1.35423051900478e-06,1.3193480119969e-06,1.33010083947148e-06,1.28607974578594e-06,1.2535331880832e-06,1.22385108430007e-06,1.21920001718866e-06,1.19442277096922e-06,1.16451365475466e-06,1.18853596761853e-06
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,1.04078451811853e-06,8.42896944897309e-07,4.84025121987229e-07,6.17100611830418e-07,6.50893789689712e-07,6.02383516438695e-07,7.05634840863273e-07,6.54935513871941e-07,6.4832308265379e-07,6.43317470715543e-07,6.58665272786352e-07,6.30911473294156e-07,6.45930534034842e-07,6.11031010238436e-07,6.44861021226341e-07,6.90520499391888e-07,7.06794894607656e-07,7.74114582574627e-07,7.36053305935971e-07,7.10423621305784e-07,6.61791668356682e-07,6.23905326187613e-07,6.80366163358498e-07,6.65504816042172e-07,6.43183277744863e-07,6.63777566226383e-07
72,"BWA","Botswana",1.15296910061762e-06,1.02474745262876e-06,9.84117076356381e-07,9.74763359187067e-07,9.58858840358133e-07,9.53216084090963e-07,9.71907438465412e-07,8.69257951632084e-07,8.44636989120554e-07,7.54492575778906e-07,7.5300622460294e-07,8.64719672902133e-07,8.30435668645923e-07,4.49917728792615e-07,4.66562338730329e-07,5.0579802086016e-07,5.51769051100916e-07,4.36875006012318e-07,7.30659796217257e-07,4.17919766469501e-07,8.13038715914873e-07,8.93241554610656e-07,5.0366046866339e-07,4.38701432962598e-07,3.77611033409906e-07,3.32098317892278e-07,3.20021958853945e-07,4.13831345591001e-07,3.47515608662685e-07,2.86733748371547e-07
76,"BRA","Brazil",4.61884795219639e-07,4.69678168306932e-07,4.77355723935187e-07,4.67600443475752e-07,4.57318633336712e-07,4.52479133459808e-07,4.47767762586916e-07,4.48388618691285e-07,4.60620521939211e-07,4.64331521524067e-07,4.59550972496785e-07,4.63938937367989e-07,4.61180855943423e-07,4.68364207462433e-07,4.64225568682315e-07,4.54707395963991e-07,4.35267079073647e-07,4.19786856989022e-07,4.05688431275283e-07,3.94003742436115e-07,3.99831365146234e-07,3.88963343420455e-07,3.92701977359696e-07,3.92961922105712e-07,4.04543070858426e-07,4.1143548625798e-07,4.21908368424953e-07,4.21511735394644e-07,4.07294639606542e-07,4.03613005212564e-07
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",5.75866142262978e-07,4.64268410782751e-07,4.34039758728841e-07,4.54707522432909e-07,4.27853045473634e-07,4.11055990330794e-07,4.09649127179218e-07,4.30508349460288e-07,4.49644448309274e-07,3.9925340301764e-07,4.38180044720157e-07,4.47640406391273e-07,3.99437001445376e-07,4.10751043391669e-07,4.12205111662173e-07,4.11121049216657e-07,4.32110210046273e-07,5.59906154731477e-07,6.68063522379301e-07,5.77557851807469e-07,5.5885020202116e-07,6.08095762503247e-07,5.95837629739485e-07,5.26443137014331e-07,5.79779737894575e-07,5.05605006637967e-07,5.38230074967902e-07,6.06632421276727e-07,6.07457850151972e-07,7.27427843807232e-07
100,"BGR","Bulgaria",9.78276586436573e-07,9.053258515627e-07,9.26486068078327e-07,1.0853732741475e-06,8.79917297928763e-07,8.68899149258692e-07,8.11753950346242e-07,8.91173947003191e-07,8.0146484178575e-07,7.97605629229888e-07,7.40098556754765e-07,7.3751277921387e-07,6.74005728562509e-07,6.75227430787341e-07,6.23477982828468e-07,5.88573126328674e-07,5.51268630542259e-07,5.51835940106973e-07,5.02709613161068e-07,4.52989986003043e-07,4.64155243727274e-07,5.02613131713787e-07,4.59955343026177e-07,4.18150691871721e-07,4.33000588876487e-07,4.39832092181328e-07,4.03567428941683e-07,4.10794614961391e-07,3.81163504588007e-07,3.57591791077461e-07
854,"BFA","Burkina Faso",1.58878752314666e-06,1.5059482641769e-06,1.53341650790397e-06,1.50608732439181e-06,1.5389232135282e-06,1.49648670388842e-06,1.35704695921595e-06,1.33143563121632e-06,1.26044962373445e-06,1.15741660759518e-06,1.21947146144656e-06,1.1174984869533e-06,1.10403026629115e-06,1.22164935728127e-06,1.2141785106995e-06,1.16619709343589e-06,1.10231265493996e-06,1.09414644546544e-06,1.07219299851391e-06,1.07365088486708e-06,1.03752468642199e-06,9.89917693240911e-07,9.54985234472274e-07,9.35029338992156e-07,9.11229160598662e-07,8.99740316189247e-07,8.8743071048075e-07,8.62349085357175e-07,8.10790330095686e-07,7.85261397998366e-07
108,"BDI","Burundi",5.10624331883675e-07,4.93170690248233e-07,4.87161151955392e-07,5.17827570023062e-07,5.45701854813865e-07,6.11408280610079e-07,6.72163266273391e-07,6.94119802402329e-07,6.54544549168667e-07,5.95584340006566e-07,6.24436247477037e-07,6.6323149542114e-07,6.38601966267883e-07,6.50065004995866e-07,6.45757945946932e-07,6.50102774750718e-07,6.46303103526653e-07,6.45986580691559e-07,6.39447737261655e-07,6.41566949888949e-07,6.60238409799702e-07,6.69639484189377e-07,6.02498846052378e-07,6.5967066482701e-07,6.26308963080459e-07,6.55553784206109e-07,7.10401263828906e-07,7.85656362882416e-07,7.93185148280522e-07,7.29341348116778e-07
132,"CPV","Cabo Verde",4.53134115866048e-07,4.67717336042886e-07,4.76291549167801e-07,4.47557628330958e-07,3.64000570823958e-07,3.52441221836821e-07,3.11938849914488e-07,2.96331299997017e-07,2.85128946433925e-07,2.79153328358895e-07,2.66030336031373e-07,2.77327497122146e-07,2.87899195119754e-07,2.82116096248079e-07,2.72828672743311e-07,3.05528364690464e-07,2.97074281274281e-07,2.70629897233122e-07,2.42601624776974e-07,2.66737469222678e-07,2.78294887621352e-07,2.76512255555954e-07,2.38377687545845e-07,2.35410300777503e-07,2.32442881890433e-07,2.32501391494111e-07,2.37125708735748e-07,2.35358445163986e-07,2.70092123133222e-07,2.59730013373683e-07
116,"KHM","Cambodia",NA,NA,NA,1.13403165017104e-06,1.62201900019538e-06,1.73700177609513e-06,1.66832567720685e-06,1.61219232753017e-06,1.5813980082827e-06,1.48416460659578e-06,1.28724786800827e-06,1.19622670585096e-06,1.16062962118377e-06,1.14407652411338e-06,1.01013937527008e-06,9.48124337897676e-07,9.04028426872099e-07,8.46115415985789e-07,8.10166493540701e-07,8.7815736852121e-07,8.4987734589871e-07,8.26891156794694e-07,7.60289479428702e-07,7.09766540013309e-07,6.71884706100354e-07,6.68645361188487e-07,6.66910370599553e-07,6.78105398779774e-07,6.50076115935737e-07,6.68798708320124e-07
120,"CMR","Cameroon",7.86170578732815e-07,7.89801363779791e-07,8.64177776474606e-07,9.27246783834992e-07,8.78966125162634e-07,8.74406386571691e-07,8.89386851597883e-07,8.30427944348517e-07,8.21283415207156e-07,7.92685017388511e-07,8.12288806298106e-07,7.58667412411132e-07,7.0364548893971e-07,7.12364351241223e-07,6.30554311952142e-07,6.42807426733345e-07,5.92850291879588e-07,5.91916025817487e-07,5.72059082793202e-07,5.77962861098006e-07,5.55913615558636e-07,5.19775037373153e-07,4.98281066926717e-07,4.77722682705451e-07,4.88910211740202e-07,5.08180970715027e-07,4.95620901491905e-07,4.50347212127945e-07,4.4384264935467e-07,4.21029622414853e-07
124,"CAN","Canada",NA,NA,NA,NA,NA,NA,NA,6.79072342833703e-07,6.70252475930906e-07,6.53951987806511e-07,6.41275875514309e-07,6.26003242056623e-07,6.01487306675159e-07,6.06814197463965e-07,5.86691722146568e-07,5.65174725827674e-07,5.48853727659985e-07,5.16846619702103e-07,4.98993541133029e-07,4.9173363543371e-07,4.73908042838566e-07,4.60983212896532e-07,4.54820796047311e-07,4.49694568958941e-07,4.50540776467312e-07,4.53764780580886e-07,4.46953275512578e-07,4.46347670522988e-07,4.44835872126248e-07,4.39195096463212e-07
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",5.20026701542957e-06,5.32897695362134e-06,5.71568506619638e-06,5.70776323356932e-06,5.49424467180176e-06,5.15597690860321e-06,5.94815821226995e-06,5.71271717255929e-06,5.98799392399057e-06,5.15927737754921e-06,6.07640601602654e-06,4.84670665547755e-06,4.132613070326e-06,5.68645178781262e-06,4.73521040169643e-06,4.94223801043973e-06,4.75195361888503e-06,4.67529714047037e-06,4.83968296279916e-06,3.55912166238437e-06,3.81212718627927e-06,3.8993222617783e-06,3.21836318395984e-06,5.39195146219585e-06,5.25510460867688e-06,5.11563453781316e-06,5.34625278431346e-06,4.75245443292043e-06,4.71262391210245e-06,4.08977461273678e-06
148,"TCD","Chad",2.72627455217264e-06,3.53175008571478e-06,3.39353192711006e-06,4.15358473907571e-06,3.94345091701452e-06,4.06301873480542e-06,4.4262600645041e-06,4.29766679296538e-06,4.1273956341872e-06,4.43497354052449e-06,4.871763550926e-06,4.00406633031972e-06,3.9721668828591e-06,3.66729263289013e-06,2.95240826121974e-06,2.66454451068462e-06,2.71383376720707e-06,2.7594410059209e-06,2.75744774195199e-06,2.71299341921105e-06,2.53057530289036e-06,2.66612966710904e-06,2.55336273368773e-06,2.52159340495678e-06,2.48836833259428e-06,2.59369418861054e-06,2.96726444762233e-06,3.16861908944381e-06,3.27513864747319e-06,3.28185532403405e-06
152,"CHL","Chile",4.48205430840118e-07,4.01747855750371e-07,3.75214672657168e-07,3.67572323940831e-07,3.73899337306309e-07,3.72812399264488e-07,3.8673329962506e-07,3.97030489374349e-07,3.8596423408524e-07,4.10671733408253e-07,3.81676783878354e-07,3.47838732739828e-07,3.45897580247072e-07,3.35343845017278e-07,3.29928328956795e-07,3.16272303684427e-07,3.06485024436629e-07,3.1390005569241e-07,3.07146510961246e-07,2.94522989854265e-07,2.87681490328943e-07,2.91512346635311e-07,2.83736231404668e-07,2.74950713242764e-07,2.58521589767181e-07,2.61322432852003e-07,2.63511923544961e-07,2.61854973668828e-07,2.55857337115438e-07,2.54956579942567e-07
156,"CHN","China",2.38322438734297e-06,2.25554705679185e-06,2.02843988049605e-06,1.86385171124813e-06,1.74032452371075e-06,1.69371781843302e-06,1.59378836076863e-06,1.45961424655613e-06,1.3104884228149e-06,1.23208479062526e-06,1.16245860261958e-06,1.09618535701154e-06,1.08691512707695e-06,1.1281752847167e-06,1.1583818774636e-06,1.15342948215951e-06,1.12062796078311e-06,1.0394463342663e-06,1.00285848637026e-06,9.56534977074752e-07,9.32586396719643e-07,9.3106487177346e-07,8.84082039188451e-07,8.39263933946267e-07,7.91620125767363e-07,7.32931972030484e-07,6.79348843848772e-07,6.46266309737339e-07,6.15671302670445e-07,5.99227736425223e-07
170,"COL","Colombia",5.16205552192101e-07,5.03954653721027e-07,5.05991050181888e-07,4.89165003571886e-07,4.76315480582138e-07,4.36589324080413e-07,4.29079795012064e-07,4.34189181431022e-07,4.39691145198215e-07,4.17535953353742e-07,4.16199155562891e-07,4.150084164469e-07,4.04690348501258e-07,3.9789035072596e-07,3.72878071879405e-07,3.71222199120791e-07,3.54297985878061e-07,3.35303505636602e-07,3.37853480647648e-07,3.48472979191455e-07,3.46699551160394e-07,3.188518385048e-07,3.10006857988768e-07,3.10804322337272e-07,3.01054383537169e-07,2.82950824109067e-07,2.99821968105906e-07,2.85465482166029e-07,2.8725999441903e-07,2.93759464528578e-07
174,"COM","Comoros",3.17351708467457e-07,3.40379196199452e-07,3.20142525579846e-07,3.20110348465993e-07,3.43414664792605e-07,3.41146738827891e-07,3.5543436402863e-07,3.49081679071835e-07,3.60108616144779e-07,3.64425944016214e-07,3.27562598299854e-07,3.3326310118297e-07,3.3163670229026e-07,3.40656222065121e-07,3.44414107983964e-07,3.40957931151527e-07,3.57559682293144e-07,3.12174025972235e-07,3.20850509253911e-07,3.28264825537897e-07,3.41799590916111e-07,3.27997072649214e-07,3.29503256131354e-07,3.35633806798245e-07,3.25055521139561e-07,3.32653951200219e-07,3.43414549733074e-07,3.54068700982844e-07,3.53754681156367e-07,3.3936159678994e-07
