country_group,iso,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Estimates Start After
ME-CA,AZE,Azerbaijan,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: Azerbaijan manat Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11.777,10.913,10.037,9.167,7.987,7.256,6.615,6.326,5.856,5.742,5.631,5.424,5.185,4.973,4.913,4.958,5.043,4.961,4.944,4.848,7.157,5.952,5.932,5.865,2022
LA-C,BHS,The Bahamas,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019 Employment type: National definition Primary domestic currency: Bahamian dollar Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,12.2,11.5,11,11.7,12,12.3,14.8,13.1,13.292,10.9,11.505,9.779,7.743,7.796,7,6.9,9.102,10.835,10.202,10.17,7.628,7.853,8.703,14.246,15.082,15.889,14.367,15.782,14.636,13.379,12.15,10.1,10.35,10.1,26.218,17.646,10.814,8.79,2019
ME-CA,BHR,Bahrain,Unemployment rate,Percent of total labor force,,"Source: LMRA, GOSI and IMF staff projections Latest actual data: 2022 Employment type: National definition Primary domestic currency: Bahrain dinar Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.6,3.7,4,3.6,4,3.7,4.3,3.8,3.5,4.3,4.1,4.3,4.7,5.9,5.9,5.4,n/a,2022
ED-A,BGD,Bangladesh,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA-C,BRB,Barbados,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: Barbados dollar Data last updated: 09/2023,n/a,10.76,13.65,14.945,17.037,18.631,17.735,17.934,17.137,15.244,14.945,17.236,22.915,24.41,21.75,19.625,15.75,14.55,12.15,10.35,9.35,9.85,10.3,11,9.575,9.075,8.725,7.425,8.125,9.975,10.25,11.15,11.5,11.625,12.275,11.3,9.65,9.95,10.05,10.088,21.121,14.358,10.184,10.124,2022
ED-E,BLR,Belarus,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2022 Employment type: National definition Primary domestic currency: Belarusian ruble Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.281,6.947,7.703,8.774,7.6,7.174,6.947,6.961,7.096,7.471,7.931,7.347,6.57,6.295,5.962,5.844,5.808,5.738,5.588,5.536,5.436,5.417,5.821,5.92,5.684,4.825,4.191,4.082,4.309,4.203,4.01,2022
euro-area,BEL,Belgium,Unemployment rate,Percent of total labor force,,Source: Central Bank. Some indicators have been affected by the benchmark national account revision 1995-2018 released in Sept 2019. Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2023,8.3,10,11.5,10.742,10.825,10.117,10.05,9.808,8.833,7.367,6.558,6.45,7.092,8.625,9.75,9.683,9.55,9.217,9.342,8.425,6.858,6.567,7.525,8.175,8.383,8.475,8.267,7.492,6.967,7.992,8.375,7.217,7.65,8.55,8.667,8.658,7.85,7.108,5.975,5.375,5.575,6.267,5.558,5.659,2022
LA-C,BLZ,Belize,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office. Labor force statistics are published at a semi annual frequency. Data for 2010 and 2011 are staff estimates because there was no labor force survey conducted those years. For 2020, the authorities published data for the second semester, but not for the first semester because of COVID-19. For 2022, the authorities published data for the second semester, but not for the first semester because they were conducting the census. Latest actual data: 2022 Notes: There is a break in the series in 2020, when the Statistical Institute of Belize tightened the criteria for inclusion in the labor force. The new series could not calculated for previous years, thus the labor force indicators up to 2019 reflect the old methodology, while those from 2020 onwards reflect the new methodology. Employment type: National definition Primary domestic currency: Belize dollar Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15,14,12,10,9,12.5,13.8,12.7,14.3,12.8,11.4,11.4,10,12.9,11.6,11,9.4,10.3,8.2,12.827,18.515,16.726,15.275,12.926,11.6,10.143,9.541,9.328,9.377,9.041,13.743,10.188,6.071,2.8,2022
SSA,BEN,Benin,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-A,BTN,Bhutan,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: Bhutanese ngultrum Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.8,2.5,3.1,3.2,3.7,3.85,4,3.3,3.1,2.1,2.9,2.6,2.5,2.1,3.138,3.4,2.72,5.03,4.8,5.9,n/a,2022
LA-C,BOL,Bolivia,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: Bolivian boliviano Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.462,8.498,8.69,8.708,8.427,8.146,7.992,7.668,4.43,4.913,4.375,3.837,3.229,4,4,4.557,4.686,5.085,4.913,5.012,8.336,6.937,4.74,4.9,2022
ED-E,BIH,Bosnia and Herzegovina,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. Figures are derived from the labor force survey using population data from the UN. Latest actual data: 2022 Employment type: National definition Primary domestic currency: Bosnian convertible marka Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,70,50,32.296,29.334,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,29,23.4,24.1,27.2,27.6,28,27.5,27.5,27.7,25.4,20.5,18.4,15.7,15.9,17.4,15.4,15.3,2022
SSA,BWA,Botswana,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA-C,BRA,Brazil,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022. Employment rate from household survey (PNAD Continua) times official population estimates by the National Statistical Office (IBGE). Employment type: National definition Primary domestic currency: Brazilian real Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.366,6.42,6.03,6.47,7.09,8.03,9,10.15,11.13,10.53,10.65,10.64,11.17,10.07,10.55,9.69,9.28,8.27,9.42,8.034,7.58,6.9,7.225,6.9,8.625,11.65,12.85,12.375,11.975,13.775,13.2,9.25,8.333,2022
ED-A,BRN,Brunei Darussalam,Unemployment rate,Percent of total labor force,,Source: Ministry of Finance or Treasury. Department of Economic Planning and Statistics Latest actual data: 2022 Employment type: National definition Primary domestic currency: Brunei dollar Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.3,8.5,7.7,6.9,7.7,8.5,9.3,8.7,6.82,7.3,4.91,5.2,4.9,2022
ED-E,BGR,Bulgaria,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: Bulgarian lev Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.025,2.9,6.78,13.24,15.84,14.05,11.37,10.988,14.023,12.367,13.79,18.134,17.514,17.416,13.857,12.192,10.177,9.022,6.935,5.664,6.878,10.306,11.35,12.379,13.038,11.524,9.233,7.666,6.23,5.273,4.275,5.207,5.346,4.243,4.6,2022
SSA,BFA,Burkina Faso,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,BDI,Burundi,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,CPV,Cabo Verde,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2018 Employment type: Harmonized ILO definition Primary domestic currency: Cabo Verdean escudo Data last updated: 09/2023,21.5,21.861,22.229,22.603,22.982,23.369,23.762,24.161,24.567,24.98,25.4,25.827,26,26,26,26,25,25,24,22,20,21,20.5,20,19.5,21.4,13.5,15.2,13,13,10.7,12.2,16.8,16.4,15.8,12.4,15,12.2,12.2,8.5,8.5,8.5,8.5,8.5,2018
ED-A,KHM,Cambodia,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,CMR,Cameroon,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
major-advanced,CAN,Canada,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 09/2023,7.517,7.617,11.1,12,11.375,10.508,9.608,8.8,7.775,7.508,8.15,10.317,11.217,11.375,10.392,9.467,9.608,9.092,8.292,7.567,6.833,7.225,7.683,7.592,7.15,6.75,6.45,6.158,6.308,8.458,8.142,7.617,7.408,7.175,7.033,6.95,7.033,6.408,5.85,5.7,9.725,7.508,5.275,5.527,2022
SSA,CAF,Central African Republic,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,TCD,Chad,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA-C,CHL,Chile,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: Harmonized OECD definition Primary domestic currency: Chilean peso Data last updated: 08/2023,11.502,10.291,19.814,20.999,17.515,14.975,12.299,10.984,9.875,7.98,7.75,8.217,6.7,6.5,7.808,7.375,6.5,6.108,6.217,10.008,9.708,9.867,9.8,9.533,10.017,9.3,7.95,7.008,7.75,11.053,8.305,7.3,6.595,6.082,6.495,6.328,6.685,6.965,7.377,7.223,10.77,8.862,7.878,8.827,2022
ED-A,CHN,China,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2022 Notes: Reported total employment data has a definitional change from 1990 onwards Employment type: National definition Primary domestic currency: Chinese yuan Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,4.9,5.2,5.2,5.1,5.5,5.3,2022
LA-C,COL,Colombia,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: Colombian peso Data last updated: 09/2023,5.429,6.561,7.1,8.694,8.986,8.742,7.654,7.361,6.451,6.792,6.637,6.377,5.935,5.038,4.914,5.649,7.8,7.9,9.7,13.1,13.325,14.975,15.583,14.108,13.667,11.808,12.042,11.192,11.25,12.208,11.992,11.05,10.617,9.883,9.4,9.2,9.542,9.675,9.95,10.875,16.658,13.8,11.208,10.8,2022
SSA,COM,Comoros,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA-C,COD,Democratic Republic of the Congo,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,COG,Republic of Congo,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euro-area,CRI,Costa Rica,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: National definition Primary domestic currency: Costa Rican colón Data last updated: 09/2023,5.921,8.766,9.405,9.231,5.361,6.846,6.229,5.577,5.461,3.774,4.642,5.5,4.1,4.1,4.2,5.2,6.2,5.7,5.6,6.022,5.193,6.072,6.403,6.668,6.495,6.63,5.962,4.597,4.948,7.822,9.213,10.492,9.849,8.311,9.658,9.604,9.541,9.293,11.951,12.417,19.98,13.68,11.669,9.8,2022
euro-area,CIV,Côte d'Ivoire,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-advanced,HRV,Croatia,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office. By the former Central Bureau of Statistics of the Republic of Croatia (CroStat), now the Croatian Bureau of Statistics (CBS, www.dzs.hr). Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13.159,15.253,14.775,14.48,14.5,9.952,9.906,11.637,18.633,20.592,21.508,21.783,19.067,17.783,17.583,16.525,14.733,13.033,14.517,17.167,17.367,18.6,19.808,19.275,17.067,14.958,12.433,9.858,7.758,9,8.092,6.783,6.319,2022
SSA,CYP,Cyprus,Unemployment rate,Percent of total labor force,,"Source: Eurostat, Labor force survey. Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2023",n/a,n/a,2.8,3.3,3.3,3.3,3.7,3.4,2.8,2.3,1.8,3,1.825,2.7,2.7,2.6,3.1,3.4,3.4,3.6,4.842,3.925,3.517,4.108,4.625,5.3,4.55,3.925,3.65,5.325,6.275,7.85,11.8,15.85,16.075,14.9,12.95,11.05,8.35,7.075,7.575,7.475,6.775,6.69,2022
other-advanced,CZE,Czech Republic,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. Haver Analytics Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: Czech koruna Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,3.9,4.775,6.491,8.72,8.757,8.113,7.27,7.77,8.344,7.932,7.128,5.306,4.377,6.703,7.284,6.708,6.975,6.949,6.111,5.021,3.946,2.89,2.102,1.888,2.416,2.659,2.08,2.8,2022
ME-CA,DNK,Denmark,Unemployment rate,Percent of total labor force,,Source: Eurostat Latest actual data: 2022 Employment type: National definition Primary domestic currency: Danish krone Data last updated: 09/2023,5.287,7.133,7.602,8.375,7.925,6.617,4.983,5,5.658,6.825,7.167,7.867,8.608,9.533,7.733,6.758,6.317,5.242,4.883,5.108,4.317,4.508,4.642,5.433,5.517,4.8,3.9,3.775,3.7,6.442,7.75,7.758,7.792,7.367,6.917,6.267,5.983,5.825,5.125,5,5.625,5.083,4.45,5,2022
LA-C,DJI,Djibouti,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA-C,DMA,Dominica,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA-C,DOM,Dominican Republic,Unemployment rate,Percent of total labor force,,Source: Central Bank Latest actual data: 2022 Employment type: National definition Primary domestic currency: Dominican peso Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.237,9.537,9.337,7.387,7.287,7.537,7.187,7.387,6.287,8.05,9.083,8.479,8.674,7.879,8.237,7.075,6.452,5.959,6.835,6.52,7.613,8.407,9.196,8.538,7.328,7.08,5.509,5.656,6.167,5.829,7.384,5.293,6.2,2022
ME-CA,ECU,Ecuador,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. Source: INEC and Central Bank Latest actual data: 2022 Employment type: National definition Primary domestic currency: US dollar Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,7.9,6.1,8.5,8.9,8.3,5.696,5.493,9.046,7.828,10.163,13.107,7.625,9.554,7.828,10.163,7.219,7.095,6.687,6.923,5.95,6.47,5.02,4.21,4.12,4.15,3.8,4.77,5.21,4.62,3.69,3.84,5.346,4.15,3.19,3.8,2022
LA-C,EGY,Egypt,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: FY2021/22 Employment type: Harmonized ILO definition Primary domestic currency: Egyptian pound Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.044,8.791,8.952,10.911,11.143,11.176,9.467,8.671,7.955,7.692,8.995,8.808,10.05,11.275,10.526,11.468,10.917,9.205,8.676,9.367,9.21,10.379,12.373,12.992,13.365,12.859,12.705,12.245,10.932,8.612,8.296,7.292,7.323,7.055,2022
SSA,SLV,El Salvador,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: US dollar Data last updated: 08/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10.154,9.074,10,8.7,9.3,9.9,7.7,7.6,7.7,8,7.3,6.4,6.7,6.96,6.23,6.92,6.78,7.2,6.6,6.3,5.9,7.3,7,6.6,6.1,5.9,7,7,7,7.05,6.35,6.34,6.9,6.3,5,5.5,2022
SSA,GNQ,Equatorial Guinea,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euro-area,ERI,Eritrea,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,EST,Estonia,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.526,7.546,9.645,9.881,9.65,9.831,12.201,14.602,13.009,11.227,10.342,10.14,8.031,5.912,4.592,5.455,13.549,16.707,12.325,10.023,8.628,7.351,6.185,6.758,5.763,5.371,4.448,6.806,6.177,5.571,6.663,2022
SSA,SWZ,Eswatini,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED-A,ETH,Ethiopia,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euro-area,FJI,Fiji,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. 2012-2013 unemployment rate are missing since the authority didn't provide it. The numbers here are based on linear interpolation using 2011 and 2014 data. Latest actual data: 2020 Employment type: Not applicable Primary domestic currency: Fijian dollar Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,9.551,11.908,12.003,7.789,8.172,7.534,6.895,7.534,7.278,6.895,3.742,4.183,4.628,5.071,5.512,5.951,6.388,6.822,7.255,7.3,7.7,8.6,8.8,8.7,7.1,7.1,6.8,6.367,6.2,5.5,5.5,4.5,4.5,4.5,13.351,9,6.5,5.5,2020
euro-area,FIN,Finland,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. Downloaded through Haver Analytics Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2023,5.288,5.743,6.076,6.147,5.928,6.049,6.665,4.9,4.208,3.108,3.2,6.7,11.8,16.5,16.7,15.5,14.6,12.7,11.5,10.275,9.875,9.2,9.175,9.075,8.875,8.475,7.775,6.95,6.425,8.325,8.5,7.9,7.8,8.325,8.825,9.575,8.975,8.825,7.425,6.725,7.767,7.617,6.767,7.3,2022
SSA,FRA,France,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: Harmonized ILO definition. Data prior to 1983 are not harmonized. Primary domestic currency: Euro Data last updated: 09/2023,6.349,7.438,8.069,7.383,8.458,8.7,8.875,9.15,8.842,8.7,8.4,8.617,9.442,10.267,10.667,10.508,10.833,10.892,10.692,10.442,9.175,8.458,8.275,8.525,8.875,8.875,8.85,8.017,7.442,9.117,9.267,9.208,9.767,10.3,10.258,10.342,10.067,9.408,9.017,8.425,8.025,7.858,7.317,7.356,2022
SSA,GAB,Gabon,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME-CA,GMB,The Gambia,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euro-area,GEO,Georgia,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2022 Employment type: Harmonized ILO definition Primary domestic currency: Georgian lari Data last updated: 08/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.715,7.551,12.381,12.628,10.3,11.1,13.5,12.7,13.9,15.1,15.4,17.4,17.9,18.3,27.2,27.2,26.7,26.4,23,21.9,21.7,21.6,19.2,17.6,18.5,20.6,17.3,18.4,2022
