country_group,iso,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Estimates Start After
euro-area,AUT,Austria,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 03/2023",33.133,28.87,25.998,25.353,27.248,26.883,26.773,26.917,25.657,26.486,26.704,26.97,26.292,25.361,26.187,26.768,26.338,26.214,26.106,26.118,25.927,25.161,23.643,24.409,24.061,23.825,23.61,24.584,24.467,22.775,22.608,24.141,23.977,23.723,23.532,23.806,24.256,24.838,25.726,25.349,2022
ME-CA,AZE,Azerbaijan,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 Notes: Data prior to 2001 cannot be confirmed at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1994 Primary domestic currency: Azerbaijan manat Data last updated: 03/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,23.715,22.583,1.873,23.779,29.003,34.238,34.665,26.495,20.674,20.677,34.576,53.17,57.99,41.535,29.859,21.525,18.694,18.949,18.06,20.268,22.317,25.658,27.51,27.914,25.682,24.379,20.129,20.308,2021
SSA,BDI,Burundi,Total investment,Percent of GDP,,Source: National Statistics Office. National Statistics Office / World Bank. World Bank estimates from 2012 onwards. Latest actual data: 2019. World Bank estimates used 2012-2019. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Burundi franc Data last updated: 03/2023,43.951,47.663,60.348,62.576,57.814,47.726,47.171,51.887,53.677,50.54,31.877,30.2,34.577,37.691,23.176,21.455,27.841,18.595,20,20,20,20,20,20,20,18.36,17.216,14.831,12.422,15.173,15.926,15.432,14.855,15.355,18.286,17.286,17.786,18.286,18.786,19.286,2019
euro-area,BEL,Belgium,Total investment,Percent of GDP,,"Source: Central Bank. Data before 1995 were spliced with older series. Data from 1995 reflect current official series, following benchmark national account revision 1995-2018 released in Sept 2019. Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995. Data before 1995 are spliced with older series. Primary domestic currency: Euro Data last updated: 03/2023",27.394,23.319,22.289,19.437,20.433,19.655,19.246,20.309,22.598,24.33,25.204,23.637,23.377,22.684,22.724,21.79,21.631,22.301,22.349,22.689,23.783,22.634,20.748,20.964,22.667,23.681,23.97,24.603,25.937,22.173,23.127,24.507,23.69,22.428,23.136,23.628,24.252,24.456,25.416,25.013,2022
SSA,BEN,Benin,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 02/2023,29.581,35.271,28.176,14.187,11.383,7.459,11.083,10.082,12.721,9.094,11.763,12.14,11.793,12.286,13.472,16.755,13.199,15.092,14.387,18.227,16.008,17.753,14.834,15.164,15.219,12.086,12.873,16.377,13.74,14.866,15.608,16.462,15.276,18.862,19.257,20.732,20.272,23.96,26.392,25.63,2021
SSA,BFA,Burkina Faso,Total investment,Percent of GDP,,Source: National Statistics Office. The ministry of economy also provides estimates Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 03/2023,7.696,11.052,10.556,7.3,8.565,15.326,12.576,11.78,11.402,12.927,12.963,13.024,13.065,13.531,14.229,14.768,16.686,18.189,17.925,17.297,14.571,13.546,13.452,15.459,15.518,17.564,16.125,18.251,20.732,19.99,21.99,22.124,24.653,23.71,19.262,19.43,20.846,23.899,25.901,26.272,2021
ED-A,BGD,Bangladesh,Total investment,Percent of GDP,,Source: National Statistics Office. Bangladesh Bureau of Statistics Latest actual data: FY2021/22 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No. Fiscal year data are mapped to calendar year as follows: FY(t-1/t) = CY(t) Start/end months of reporting year: July/June. Authorities report July/June Base year: FY2015/16. The base year is in fiscal year Chain-weighted: No Primary domestic currency: Bangladesh taka Data last updated: 03/2023,n/a,18.592,19.139,18.149,17.091,17.546,17.763,16.77,16.905,17.028,17.257,17.332,17.673,18.653,19.125,19.941,21.123,22.185,22.527,23.127,24.219,24.609,24.81,25.178,25.499,26.357,26.678,26.737,26.791,26.805,26.828,28.01,28.852,28.939,29.137,29.442,30.24,30.947,31.823,32.214,2022
ED-E,BGR,Bulgaria,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1996 Primary domestic currency: Bulgarian lev Data last updated: 03/2023",13.91,15.406,14.39,13.743,14.534,13.338,16.03,13.692,14.966,14.228,14.353,9.532,8.285,6.134,1.006,5.339,1.157,9.727,18.709,19.844,19.046,21.351,20.529,22.074,23.433,27.74,32.056,33.606,36.925,28.538,22.521,21.359,21.886,21.009,21.507,20.993,18.954,19.806,21.214,20.998,2022
ME-CA,BHR,Bahrain,Total investment,Percent of GDP,,Source: National Statistics Office. Prior to 1990 data are IMF staff estimates Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Bahrain dinar Data last updated: 03/2023,22.563,22.563,22.563,22.563,30.689,23.88,8.545,19.567,11.989,13.938,15.424,24.122,29.917,22.341,24.749,21.287,21.883,23.968,23.927,15.314,16.576,15.347,23.348,23.736,20.52,26.736,30.387,34.713,34.948,26.145,27.286,22.403,28.146,25.941,26.845,25.531,29.154,32.943,35.264,32.638,2021
LA-C,BHS,The Bahamas,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No Primary domestic currency: Bahamian dollar Data last updated: 03/2023,21.236,21.236,21.236,21.236,21.236,21.236,21.236,16.82,16.599,26.115,26.267,26.552,25.194,20.83,23.392,24.742,27.296,29.917,32.218,28.736,30.39,27.107,23.879,24.107,23.079,27.534,33.037,30.687,29.071,27.852,27.463,29.982,31.342,29.532,31.826,23.936,27.265,28.01,25.555,25.867,2021
ED-E,BIH,Bosnia and Herzegovina,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2000 Primary domestic currency: Bosnian convertible marka Data last updated: 02/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,33.729,27.297,27.461,25.963,28.082,28.421,26.618,26.329,20.516,24.742,26.395,18.893,15.917,18.311,18.282,17.226,18.443,20.676,21.73,23.618,23.708,24.332,2021
ED-E,BLR,Belarus,Total investment,Percent of GDP,,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2022 Notes: The national accounts have been updated from 2014 onwards. Prior to 2014 the data are adjusted to produce smooth series with the use of a splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. Statistical discrepancies between GDP and components are a consequence of statistical discrepancies reported by the authorities and chain-weighting. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: Yes, from 2005 Primary domestic currency: Belarusian ruble Data last updated: 02/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,42.62,36.183,25.332,24.017,27.432,27.324,24.326,26.891,25.035,22.642,24.667,28.336,28.134,31.819,33.705,37.223,36.864,40.656,37.218,35.094,38.798,34.841,29.035,26.478,28.03,28.079,29.15,2022
LA-C,BLZ,Belize,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021. National accounts data in real and nominal terms from the production and expenditure sides are available at annual frequency and are published once a year. Real GDP from the supply side is also published at quarterly frequency. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Belize dollar Data last updated: 03/2023,22.68,23.625,19.985,16.774,18.016,15.408,15.468,19.762,22.752,24.271,24.543,26.108,27.891,30.093,25.79,24.07,21.618,15.915,15.905,23.293,33.218,27.356,21.559,20.774,20.332,22.462,21.05,20.506,21.188,20.602,14.96,15.563,14.481,16.671,17.059,22.043,22.428,18.383,15.951,17.519,2021
LA-C,BOL,Bolivia,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1990 Chain-weighted: No Primary domestic currency: Bolivian boliviano Data last updated: 03/2023,n/a,16.051,15.624,13.238,19.672,19.464,13.536,13.021,13.981,11.588,12.532,15.578,16.704,16.564,14.371,15.244,16.237,19.632,23.607,18.772,18.143,14.268,16.295,13.232,11.022,14.254,13.865,15.187,17.553,16.971,17.007,20.718,17.673,19.018,21.034,20.281,21.057,22.22,20.596,19.875,2021
LA-C,BRA,Brazil,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1995 Chain-weighted: No Primary domestic currency: Brazilian real Data last updated: 03/2023,21.333,21.112,19.299,15.277,14.41,17.538,17.463,20.401,20.806,22.646,18.451,19.936,19.079,21.019,23.559,17.292,17.267,17.764,18.165,17.39,18.903,18.742,17.449,16.857,17.913,17.205,17.816,19.819,21.619,18.796,21.801,21.826,21.417,21.694,20.548,17.412,14.97,14.626,15.095,15.517,2022
LA-C,BRB,Barbados,Total investment,Percent of GDP,,"Source: National Statistics Office. The National Statistics Office is the primary source of National Accounts Data. Partial data is published on the central bank website. Expenditure side not available. Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010. Currently, the Barbados Statistical Services (BSS) ,with the assistance of CARTAC, began compiling constant price GDP by industry using 2010 as base year. Chain-weighted: No Primary domestic currency: Barbados dollar Data last updated: 03/2023",22.573,25.492,20.974,18.436,15.051,14.259,14.81,14.811,16.209,17.69,17.454,15.49,8.482,10.989,12.633,13.818,13.846,17.549,21.045,21.609,20.136,17.435,19.597,20.456,21.275,21.13,21.271,18.975,18.297,16.952,15.88,17.055,16.18,16.523,16.534,16.923,16.395,15.632,14.292,14.567,2021
ED-A,BRN,Brunei Darussalam,Total investment,Percent of GDP,,"Source: Ministry of Finance or Treasury. Department of Economic Planning and Statistics Latest actual data: 2021. None National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010. There is a methodological break in the national accounts series beginning in 2010 when the GDP series were revised to incorporate the latest data from the Household Expenditure Survey 2010/11, the Economic Census 2011 and the Population and Housing Census 2011. Data prior to 2010 are based on the 2000 base year. Chain-weighted: No Primary domestic currency: Brunei dollar Data last updated: 03/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,39.87,48.203,43.034,42.037,27.961,22.903,13.713,33.977,24.887,22.005,17.289,14.446,18.911,20.099,26.307,23.69,26.024,32.882,39.593,27.442,35.247,34.62,34.805,41.067,38.678,2021
ED-A,BTN,Bhutan,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: FY2020/21 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No Start/end months of reporting year: July/June Base year: FY1999/2000 Chain-weighted: No Primary domestic currency: Bhutanese ngultrum Data last updated: 03/2023,29.746,37.078,38.825,37.991,34.645,43.441,38.679,28.353,36.773,31.338,33.215,31.393,43.435,41.145,50.316,43.816,43.92,40.016,36.727,40.166,47.423,61.27,61.997,60.668,62.427,58.826,50.439,38.016,37.36,45.511,55.727,66.485,69.418,56.417,49.219,53.416,56.454,54.578,49.801,42.582,2021
SSA,BWA,Botswana,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008. The authority just updated and rebased their National Account indicators using 2008 SNA from 2014 onwards. Before that, data are still based on 1993 SNA GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Botswana pula Data last updated: 03/2023",32.462,36.138,24.312,20.951,24.161,11.96,19.121,0.611,25.858,30.191,30.332,23.721,24.234,22.862,20.785,26.44,21.761,18.111,30.143,16.483,21.661,18.336,19.792,19.073,25.229,18.329,21.693,23.075,35.468,32.63,34.702,39.118,36,24.879,25.253,28.443,22.068,25.006,25.903,30.876,2021
SSA,CAF,Central African Republic,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 02/2023,9.762,9.762,5.687,9.762,8.323,11.098,11.107,13.127,10.579,11.71,14.489,12.506,11.815,10.823,12.192,15.07,5.887,7.318,11.125,11.733,10.555,8.997,9.676,6.463,6.605,9.338,9.722,10.338,12.429,12.786,13.636,11.599,14.491,8.519,16.537,13.616,13.586,13.521,16.406,14.665,2021
major-advanced,CAN,Canada,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 03/2023",22.386,25.296,19.924,20.221,20.96,21.534,21.68,22.178,23.506,23.61,21.304,19.341,18.377,18.475,19.516,19.38,18.928,21.217,21.045,20.684,20.614,19.671,19.739,20.467,21.383,22.632,23.595,23.908,24.072,21.959,23.482,24.151,24.868,24.908,24.871,23.822,22.761,23.55,23.377,23.042,2022
other-advanced,CHE,Switzerland,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Swiss franc Data last updated: 03/2023",34.183,31.474,31.041,31.495,29.017,29.833,31.933,31.522,32.562,33.323,34.974,31.697,28.903,27.529,28.31,28.062,27.588,26.097,27.283,27.068,27.133,27.616,26.181,25.979,24.603,27.096,27.714,26.699,27.369,28.281,25.887,28.427,26.538,25.081,25.488,25.081,25.45,25.853,25.588,26.284,2022
LA-C,CHL,Chile,Total investment,Percent of GDP,,"Source: Central Bank. Real annual data based on seasonally adjusted quarterly data. Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: Yes, from 2003 Primary domestic currency: Chilean peso Data last updated: 03/2023",n/a,25.315,14.161,12.583,16.329,20.046,21.676,25.074,25.768,28.311,28.293,25.821,27.249,30.003,27.789,29.641,29.881,29.859,28.619,22.55,23.751,24.091,24.108,23.399,21.243,23.268,22.186,22.348,28.897,22.92,24.775,26.646,28.791,27.497,25.158,25.599,23.709,22.637,24.203,25.024,2022
ED-A,CHN,China,Total investment,Percent of GDP,,Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Authorities publish production-based measure; staff estimates expenditure-based measures. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Chinese yuan Data last updated: 03/2023,34.964,33.044,31.903,31.855,34.324,39.025,37.676,37.249,39.001,37.056,33.984,35.25,39.15,43.401,40.238,39.022,37.685,35.657,34.98,34.287,33.735,35.694,36.27,39.7,41.973,40.273,39.881,40.421,42.425,45.469,46.968,47.029,46.186,46.136,45.612,43.033,42.655,43.172,43.961,43.068,2022
euro-area,CIV,Côte d'Ivoire,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015. The authorities' rebasing exercise to 2015 is ongoing Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 03/2023,19.124,23.194,23.19,19.121,12.918,15.174,13.34,13.522,13.732,10.486,8.17,8.682,7.429,5.284,8.792,16.647,14.564,16.78,17.472,14.461,12.205,11.537,9.029,11.6,11.03,12.668,10.267,12.838,14.069,11.596,15.731,7.241,17.888,23.276,23.493,23.485,21.224,18.676,19.375,21.266,2020
SSA,CMR,Cameroon,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: Yes, from 2016. GDP and components are derived using chained price volumes - components are non-additive Primary domestic currency: CFA franc Data last updated: 02/2023",21.669,27.854,25.553,26.861,26.886,25.814,26.422,25.662,21.72,17.955,18.449,17.326,14.128,15.698,14.411,15.321,16.182,17.168,17.254,17.669,17.192,18.774,19.441,18.095,18.868,18.671,17.776,18.378,19.754,18.56,18.228,18.732,18.001,18.652,19.728,18.25,19.818,19.445,19.538,18.935,2021
LA-C,COD,Democratic Republic of the Congo,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2020 Notes: Data prior to 2001 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 2005 Primary domestic currency: Congolese franc Data last updated: 03/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,55.95,29.422,25.347,38.968,23.764,10.995,14.38,38.947,51.531,52.432,13.981,5.966,5.127,5.247,9.989,10.124,17.038,6.478,5.864,4.619,11.655,27.671,20.745,12.282,14.55,20.206,17.819,12.188,12,11.653,12.604,2020
SSA,COG,Republic of Congo,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 02/2023,28.961,33.585,31.211,41.199,23.51,25.604,27.509,42.669,54.109,39.877,14.511,27.323,28.959,36.03,62.694,46.945,39.157,28.157,37.016,34.839,30.95,30.145,28.533,30.945,26.666,25.938,28.283,61.054,42.071,54.295,47.19,36.842,43.817,47.064,53.586,79.401,74.01,37.277,25.186,23.77,2020
